entity,type,value,valueOnHours,unit,legend,percent,date,chartDatasRow,channel
all,Bruit,0.22138888888888889,,H,13 minutes,1%,2021-06-01,[{'media': 'TVCI'}],BFT
all,Silence,0.5155555555555555,,H,30 minutes,3%,2021-06-01,[{'media': 'TVCI'}],BFT
all,Musique,1.6930555555555555,,H,1 heure 41 minutes,9%,2021-06-01,[{'media': 'TVCI'}],BFT
all,Femme,4.966944444444445,,H,4 heures 58 minutes,28%,2021-06-01,[{'media': 'TVCI'}],BFT
all,Homme,10.607222222222223,,H,10 heures 36 minutes,59%,2021-06-01,[{'media': 'TVCI'}],BFT
all,Bruit,0.12666666666666668,,H,7 minutes,1%,2021-06-02,[{'media': 'TVCI'}],BFT
all,Silence,0.4411111111111111,,H,26 minutes,2%,2021-06-02,[{'media': 'TVCI'}],BFT
all,Musique,1.5258333333333334,,H,1 heure 31 minutes,8%,2021-06-02,[{'media': 'TVCI'}],BFT
all,Femme,4.350555555555555,,H,4 heures 21 minutes,24%,2021-06-02,[{'media': 'TVCI'}],BFT
all,Homme,11.559444444444445,,H,11 heures 33 minutes,64%,2021-06-02,[{'media': 'TVCI'}],BFT
all,Bruit,0.13166666666666665,,H,7 minutes,1%,2021-06-03,[{'media': 'TVCI'}],BFT
all,Silence,0.4255555555555556,,H,25 minutes,2%,2021-06-03,[{'media': 'TVCI'}],BFT
all,Musique,1.555,,H,1 heure 33 minutes,9%,2021-06-03,[{'media': 'TVCI'}],BFT
all,Femme,5.005833333333333,,H,5 heures 0 minute,28%,2021-06-03,[{'media': 'TVCI'}],BFT
all,Homme,10.886111111111111,,H,10 heures 53 minutes,60%,2021-06-03,[{'media': 'TVCI'}],BFT
all,Bruit,0.25722222222222224,,H,15 minutes,1%,2021-06-04,[{'media': 'TVCI'}],BFT
all,Silence,0.4925,,H,29 minutes,3%,2021-06-04,[{'media': 'TVCI'}],BFT
all,Musique,1.866111111111111,,H,1 heure 51 minutes,10%,2021-06-04,[{'media': 'TVCI'}],BFT
all,Femme,5.177777777777778,,H,5 heures 10 minutes,29%,2021-06-04,[{'media': 'TVCI'}],BFT
all,Homme,10.210555555555555,,H,10 heures 12 minutes,57%,2021-06-04,[{'media': 'TVCI'}],BFT
all,Bruit,0.2638888888888889,,H,15 minutes,1%,2021-06-05,[{'media': 'TVCI'}],BFT
all,Silence,0.6255555555555555,,H,37 minutes,3%,2021-06-05,[{'media': 'TVCI'}],BFT
all,Musique,2.047222222222222,,H,2 heures 2 minutes,11%,2021-06-05,[{'media': 'TVCI'}],BFT
all,Femme,4.220833333333333,,H,4 heures 13 minutes,23%,2021-06-05,[{'media': 'TVCI'}],BFT
all,Homme,10.846388888888889,,H,10 heures 50 minutes,60%,2021-06-05,[{'media': 'TVCI'}],BFT
all,Bruit,0.3488888888888889,,H,20 minutes,2%,2021-06-06,[{'media': 'TVCI'}],BFT
all,Silence,0.5433333333333333,,H,32 minutes,3%,2021-06-06,[{'media': 'TVCI'}],BFT
all,Musique,1.9947222222222223,,H,1 heure 59 minutes,11%,2021-06-06,[{'media': 'TVCI'}],BFT
all,Femme,4.419444444444444,,H,4 heures 25 minutes,25%,2021-06-06,[{'media': 'TVCI'}],BFT
all,Homme,10.6975,,H,10 heures 41 minutes,59%,2021-06-06,[{'media': 'TVCI'}],BFT
all,Bruit,0.17333333333333334,,H,10 minutes,1%,2021-06-07,[{'media': 'TVCI'}],BFT
all,Silence,0.5305555555555556,,H,31 minutes,3%,2021-06-07,[{'media': 'TVCI'}],BFT
all,Musique,1.6019444444444444,,H,1 heure 36 minutes,9%,2021-06-07,[{'media': 'TVCI'}],BFT
all,Femme,5.675,,H,5 heures 40 minutes,32%,2021-06-07,[{'media': 'TVCI'}],BFT
all,Homme,10.023333333333333,,H,10 heures 1 minute,56%,2021-06-07,[{'media': 'TVCI'}],BFT
