entity,type,value,valueOnHours,unit,legend,percent,date,chartDatasRow,channel
all,Bruit,0.29888888888888887,,H,17 minutes,2%,2025-02-01,[{'media': 'TVCI'}],BFT
all,Silence,0.6216666666666667,,H,37 minutes,3%,2025-02-01,[{'media': 'TVCI'}],BFT
all,Musique,1.2138888888888888,,H,1 heure 12 minutes,7%,2025-02-01,[{'media': 'TVCI'}],BFT
all,Femme,5.005833333333333,,H,5 heures 0 minute,28%,2025-02-01,[{'media': 'TVCI'}],BFT
all,Homme,10.858888888888888,,H,10 heures 51 minutes,60%,2025-02-01,[{'media': 'TVCI'}],BFT
all,Bruit,0.21,,H,12 minutes,1%,2025-02-02,[{'media': 'TVCI'}],BFT
all,Silence,0.5416666666666666,,H,32 minutes,3%,2025-02-02,[{'media': 'TVCI'}],BFT
all,Musique,1.1675,,H,1 heure 10 minutes,6%,2025-02-02,[{'media': 'TVCI'}],BFT
all,Femme,4.930833333333333,,H,4 heures 55 minutes,27%,2025-02-02,[{'media': 'TVCI'}],BFT
all,Homme,11.149444444444445,,H,11 heures 8 minutes,62%,2025-02-02,[{'media': 'TVCI'}],BFT
all,Bruit,0.23083333333333333,,H,13 minutes,1%,2025-02-03,[{'media': 'TVCI'}],BFT
all,Silence,0.4313888888888889,,H,25 minutes,2%,2025-02-03,[{'media': 'TVCI'}],BFT
all,Musique,0.9694444444444444,,H,58 minutes,5%,2025-02-03,[{'media': 'TVCI'}],BFT
all,Femme,6.2525,,H,6 heures 15 minutes,35%,2025-02-03,[{'media': 'TVCI'}],BFT
all,Homme,10.115555555555556,,H,10 heures 6 minutes,56%,2025-02-03,[{'media': 'TVCI'}],BFT
all,Bruit,0.21805555555555556,,H,13 minutes,1%,2025-02-04,[{'media': 'TVCI'}],BFT
all,Silence,0.53,,H,31 minutes,3%,2025-02-04,[{'media': 'TVCI'}],BFT
all,Musique,1.0116666666666667,,H,1 heure 0 minute,6%,2025-02-04,[{'media': 'TVCI'}],BFT
all,Femme,6.195,,H,6 heures 11 minutes,34%,2025-02-04,[{'media': 'TVCI'}],BFT
all,Homme,10.044722222222223,,H,10 heures 2 minutes,56%,2025-02-04,[{'media': 'TVCI'}],BFT
all,Bruit,0.14944444444444444,,H,8 minutes,1%,2025-02-05,[{'media': 'TVCI'}],BFT
all,Silence,0.48,,H,28 minutes,3%,2025-02-05,[{'media': 'TVCI'}],BFT
all,Musique,0.8377777777777777,,H,50 minutes,5%,2025-02-05,[{'media': 'TVCI'}],BFT
all,Femme,6.152222222222222,,H,6 heures 9 minutes,34%,2025-02-05,[{'media': 'TVCI'}],BFT
all,Homme,10.379722222222222,,H,10 heures 22 minutes,58%,2025-02-05,[{'media': 'TVCI'}],BFT
all,Bruit,0.23055555555555557,,H,13 minutes,1%,2025-02-06,[{'media': 'TVCI'}],BFT
all,Silence,0.5352777777777777,,H,32 minutes,3%,2025-02-06,[{'media': 'TVCI'}],BFT
all,Musique,1.0825,,H,1 heure 4 minutes,6%,2025-02-06,[{'media': 'TVCI'}],BFT
all,Femme,7.036666666666667,,H,7 heures 2 minutes,39%,2025-02-06,[{'media': 'TVCI'}],BFT
all,Homme,9.114166666666666,,H,9 heures 6 minutes,51%,2025-02-06,[{'media': 'TVCI'}],BFT
all,Bruit,0.19694444444444445,,H,11 minutes,1%,2025-02-07,[{'media': 'TVCI'}],BFT
all,Silence,0.4938888888888889,,H,29 minutes,3%,2025-02-07,[{'media': 'TVCI'}],BFT
all,Musique,1.1283333333333334,,H,1 heure 7 minutes,6%,2025-02-07,[{'media': 'TVCI'}],BFT
all,Femme,6.8197222222222225,,H,6 heures 49 minutes,38%,2025-02-07,[{'media': 'TVCI'}],BFT
all,Homme,9.36,,H,9 heures 21 minutes,52%,2025-02-07,[{'media': 'TVCI'}],BFT
all,Bruit,0.18722222222222223,,H,11 minutes,1%,2025-02-08,[{'media': 'TVCI'}],BFT
all,Silence,0.5125,,H,30 minutes,3%,2025-02-08,[{'media': 'TVCI'}],BFT
all,Musique,1.1580555555555556,,H,1 heure 9 minutes,6%,2025-02-08,[{'media': 'TVCI'}],BFT
all,Femme,5.9319444444444445,,H,5 heures 55 minutes,33%,2025-02-08,[{'media': 'TVCI'}],BFT
all,Homme,10.209444444444445,,H,10 heures 12 minutes,57%,2025-02-08,[{'media': 'TVCI'}],BFT
all,Bruit,0.17777777777777778,,H,10 minutes,1%,2025-02-09,[{'media': 'TVCI'}],BFT
all,Silence,0.5158333333333334,,H,30 minutes,3%,2025-02-09,[{'media': 'TVCI'}],BFT
all,Musique,1.2338888888888888,,H,1 heure 14 minutes,7%,2025-02-09,[{'media': 'TVCI'}],BFT
all,Femme,6.3375,,H,6 heures 20 minutes,35%,2025-02-09,[{'media': 'TVCI'}],BFT
all,Homme,9.734166666666667,,H,9 heures 44 minutes,54%,2025-02-09,[{'media': 'TVCI'}],BFT
all,Bruit,0.14,,H,8 minutes,1%,2025-02-10,[{'media': 'TVCI'}],BFT
all,Silence,0.43694444444444447,,H,26 minutes,2%,2025-02-10,[{'media': 'TVCI'}],BFT
all,Musique,0.9116666666666666,,H,54 minutes,5%,2025-02-10,[{'media': 'TVCI'}],BFT
all,Femme,7.237222222222222,,H,7 heures 14 minutes,40%,2025-02-10,[{'media': 'TVCI'}],BFT
all,Homme,9.27361111111111,,H,9 heures 16 minutes,52%,2025-02-10,[{'media': 'TVCI'}],BFT
all,Bruit,0.13055555555555556,,H,7 minutes,1%,2025-02-11,[{'media': 'TVCI'}],BFT
all,Silence,0.4661111111111111,,H,27 minutes,3%,2025-02-11,[{'media': 'TVCI'}],BFT
all,Musique,0.8933333333333333,,H,53 minutes,5%,2025-02-11,[{'media': 'TVCI'}],BFT
all,Femme,7.646388888888889,,H,7 heures 38 minutes,42%,2025-02-11,[{'media': 'TVCI'}],BFT
all,Homme,8.863055555555556,,H,8 heures 51 minutes,49%,2025-02-11,[{'media': 'TVCI'}],BFT
all,Bruit,0.14555555555555555,,H,8 minutes,1%,2025-02-12,[{'media': 'TVCI'}],BFT
all,Silence,0.5097222222222222,,H,30 minutes,3%,2025-02-12,[{'media': 'TVCI'}],BFT
all,Musique,0.9036111111111111,,H,54 minutes,5%,2025-02-12,[{'media': 'TVCI'}],BFT
all,Femme,7.198333333333333,,H,7 heures 11 minutes,40%,2025-02-12,[{'media': 'TVCI'}],BFT
all,Homme,9.242222222222223,,H,9 heures 14 minutes,51%,2025-02-12,[{'media': 'TVCI'}],BFT
all,Bruit,0.14027777777777778,,H,8 minutes,1%,2025-02-13,[{'media': 'TVCI'}],BFT
all,Silence,0.5233333333333333,,H,31 minutes,3%,2025-02-13,[{'media': 'TVCI'}],BFT
all,Musique,1.1188888888888888,,H,1 heure 7 minutes,6%,2025-02-13,[{'media': 'TVCI'}],BFT
all,Femme,6.232222222222222,,H,6 heures 13 minutes,35%,2025-02-13,[{'media': 'TVCI'}],BFT
all,Homme,9.984722222222222,,H,9 heures 59 minutes,55%,2025-02-13,[{'media': 'TVCI'}],BFT
all,Bruit,0.14583333333333334,,H,8 minutes,1%,2025-02-14,[{'media': 'TVCI'}],BFT
all,Silence,0.4811111111111111,,H,28 minutes,3%,2025-02-14,[{'media': 'TVCI'}],BFT
all,Musique,1.1419444444444444,,H,1 heure 8 minutes,6%,2025-02-14,[{'media': 'TVCI'}],BFT
all,Femme,8.021666666666667,,H,8 heures 1 minute,45%,2025-02-14,[{'media': 'TVCI'}],BFT
all,Homme,8.20888888888889,,H,8 heures 12 minutes,46%,2025-02-14,[{'media': 'TVCI'}],BFT
all,Bruit,0.18583333333333332,,H,11 minutes,1%,2025-02-15,[{'media': 'TVCI'}],BFT
all,Silence,0.5416666666666666,,H,32 minutes,3%,2025-02-15,[{'media': 'TVCI'}],BFT
all,Musique,1.0594444444444444,,H,1 heure 3 minutes,6%,2025-02-15,[{'media': 'TVCI'}],BFT
all,Femme,5.840833333333333,,H,5 heures 50 minutes,32%,2025-02-15,[{'media': 'TVCI'}],BFT
all,Homme,10.37111111111111,,H,10 heures 22 minutes,58%,2025-02-15,[{'media': 'TVCI'}],BFT
