entity,type,value,valueOnHours,unit,legend,percent,date,chartDatasRow,channel
all,Silence,0.3963888888888889,,H,23 minutes,2%,2019-06-01,[{'media': 'TVCI'}],BFT
all,Bruit,0.9475,,H,56 minutes,5%,2019-06-01,[{'media': 'TVCI'}],BFT
all,Musique,1.8133333333333332,,H,1 heure 48 minutes,10%,2019-06-01,[{'media': 'TVCI'}],BFT
all,Femme,4.2275,,H,4 heures 13 minutes,23%,2019-06-01,[{'media': 'TVCI'}],BFT
all,Homme,10.619166666666667,,H,10 heures 37 minutes,59%,2019-06-01,[{'media': 'TVCI'}],BFT
all,Bruit,0.45,,H,27 minutes,2%,2019-06-02,[{'media': 'TVCI'}],BFT
all,Silence,0.5511111111111111,,H,33 minutes,3%,2019-06-02,[{'media': 'TVCI'}],BFT
all,Musique,1.9397222222222221,,H,1 heure 56 minutes,11%,2019-06-02,[{'media': 'TVCI'}],BFT
all,Femme,6.266944444444444,,H,6 heures 16 minutes,35%,2019-06-02,[{'media': 'TVCI'}],BFT
all,Homme,8.796666666666667,,H,8 heures 47 minutes,49%,2019-06-02,[{'media': 'TVCI'}],BFT
all,Bruit,0.31527777777777777,,H,18 minutes,2%,2019-06-03,[{'media': 'TVCI'}],BFT
all,Silence,0.43222222222222223,,H,25 minutes,2%,2019-06-03,[{'media': 'TVCI'}],BFT
all,Musique,1.7241666666666666,,H,1 heure 43 minutes,10%,2019-06-03,[{'media': 'TVCI'}],BFT
all,Femme,5.041388888888889,,H,5 heures 2 minutes,28%,2019-06-03,[{'media': 'TVCI'}],BFT
all,Homme,10.491111111111111,,H,10 heures 29 minutes,58%,2019-06-03,[{'media': 'TVCI'}],BFT
all,Bruit,0.33416666666666667,,H,20 minutes,2%,2019-06-04,[{'media': 'TVCI'}],BFT
all,Silence,0.44916666666666666,,H,26 minutes,2%,2019-06-04,[{'media': 'TVCI'}],BFT
all,Musique,1.6022222222222222,,H,1 heure 36 minutes,9%,2019-06-04,[{'media': 'TVCI'}],BFT
all,Femme,4.405277777777778,,H,4 heures 24 minutes,24%,2019-06-04,[{'media': 'TVCI'}],BFT
