entity,type,value,valueOnHours,unit,legend,percent,date,chartDatasRow,channel
all,Bruit,0.16333333333333333,,H,9 minutes,1%,2022-07-01,[{'media': 'TVCI'}],BFT
all,Silence,0.5377777777777778,,H,32 minutes,3%,2022-07-01,[{'media': 'TVCI'}],BFT
all,Musique,0.9511111111111111,,H,57 minutes,5%,2022-07-01,[{'media': 'TVCI'}],BFT
all,Femme,5.588055555555556,,H,5 heures 35 minutes,31%,2022-07-01,[{'media': 'TVCI'}],BFT
all,Homme,10.764444444444445,,H,10 heures 45 minutes,60%,2022-07-01,[{'media': 'TVCI'}],BFT
all,Bruit,0.19083333333333333,,H,11 minutes,1%,2022-07-02,[{'media': 'TVCI'}],BFT
all,Silence,0.5669444444444445,,H,34 minutes,3%,2022-07-02,[{'media': 'TVCI'}],BFT
all,Musique,0.9502777777777778,,H,57 minutes,5%,2022-07-02,[{'media': 'TVCI'}],BFT
all,Femme,5.824166666666667,,H,5 heures 49 minutes,32%,2022-07-02,[{'media': 'TVCI'}],BFT
all,Homme,10.471944444444444,,H,10 heures 28 minutes,58%,2022-07-02,[{'media': 'TVCI'}],BFT
all,Bruit,0.3427777777777778,,H,20 minutes,2%,2022-07-03,[{'media': 'TVCI'}],BFT
all,Silence,0.5602777777777778,,H,33 minutes,3%,2022-07-03,[{'media': 'TVCI'}],BFT
all,Musique,1.2805555555555554,,H,1 heure 16 minutes,7%,2022-07-03,[{'media': 'TVCI'}],BFT
all,Femme,5.929444444444444,,H,5 heures 55 minutes,33%,2022-07-03,[{'media': 'TVCI'}],BFT
all,Homme,9.891111111111112,,H,9 heures 53 minutes,55%,2022-07-03,[{'media': 'TVCI'}],BFT
all,Bruit,0.20222222222222222,,H,12 minutes,1%,2022-07-04,[{'media': 'TVCI'}],BFT
all,Silence,0.5172222222222222,,H,31 minutes,3%,2022-07-04,[{'media': 'TVCI'}],BFT
all,Musique,0.7094444444444444,,H,42 minutes,4%,2022-07-04,[{'media': 'TVCI'}],BFT
all,Femme,5.447222222222222,,H,5 heures 26 minutes,30%,2022-07-04,[{'media': 'TVCI'}],BFT
all,Homme,11.127777777777778,,H,11 heures 7 minutes,62%,2022-07-04,[{'media': 'TVCI'}],BFT
all,Bruit,0.24722222222222223,,H,14 minutes,1%,2022-07-05,[{'media': 'TVCI'}],BFT
all,Silence,0.5113888888888889,,H,30 minutes,3%,2022-07-05,[{'media': 'TVCI'}],BFT
all,Musique,1.0305555555555554,,H,1 heure 1 minute,6%,2022-07-05,[{'media': 'TVCI'}],BFT
all,Femme,5.231944444444444,,H,5 heures 13 minutes,29%,2022-07-05,[{'media': 'TVCI'}],BFT
all,Homme,10.982777777777779,,H,10 heures 58 minutes,61%,2022-07-05,[{'media': 'TVCI'}],BFT
all,Bruit,0.23277777777777778,,H,13 minutes,1%,2022-07-06,[{'media': 'TVCI'}],BFT
all,Silence,0.4386111111111111,,H,26 minutes,2%,2022-07-06,[{'media': 'TVCI'}],BFT
