entity,type,value,valueOnHours,unit,legend,percent,date,chartDatasRow,channel
all,Bruit,0.23,,H,13 minutes,1%,2022-05-01,[{'media': 'TVCI'}],BFT
all,Musique,0.9219444444444445,,H,55 minutes,5%,2022-05-01,[{'media': 'TVCI'}],BFT
all,Femme,5.627777777777778,,H,5 heures 37 minutes,32%,2022-05-01,[{'media': 'TVCI'}],BFT
all,Homme,10.786111111111111,,H,10 heures 47 minutes,61%,2022-05-01,[{'media': 'TVCI'}],BFT
all,Bruit,0.11888888888888889,,H,7 minutes,1%,2022-05-02,[{'media': 'TVCI'}],BFT
all,Musique,1.0277777777777777,,H,1 heure 1 minute,6%,2022-05-02,[{'media': 'TVCI'}],BFT
all,Femme,5.601666666666667,,H,5 heures 36 minutes,32%,2022-05-02,[{'media': 'TVCI'}],BFT
all,Homme,10.63888888888889,,H,10 heures 38 minutes,61%,2022-05-02,[{'media': 'TVCI'}],BFT
all,Bruit,0.09555555555555556,,H,5 minutes,1%,2022-05-03,[{'media': 'TVCI'}],BFT
all,Musique,0.8933333333333333,,H,53 minutes,5%,2022-05-03,[{'media': 'TVCI'}],BFT
all,Femme,6.017222222222222,,H,6 heures 1 minute,34%,2022-05-03,[{'media': 'TVCI'}],BFT
all,Homme,10.476111111111111,,H,10 heures 28 minutes,60%,2022-05-03,[{'media': 'TVCI'}],BFT
all,Bruit,0.1638888888888889,,H,9 minutes,1%,2022-05-04,[{'media': 'TVCI'}],BFT
all,Musique,0.9538888888888889,,H,57 minutes,5%,2022-05-04,[{'media': 'TVCI'}],BFT
all,Femme,6.026111111111111,,H,6 heures 1 minute,35%,2022-05-04,[{'media': 'TVCI'}],BFT
all,Homme,10.272222222222222,,H,10 heures 16 minutes,59%,2022-05-04,[{'media': 'TVCI'}],BFT
all,Bruit,0.11055555555555556,,H,6 minutes,1%,2022-05-05,[{'media': 'TVCI'}],BFT
all,Musique,0.9158333333333334,,H,54 minutes,5%,2022-05-05,[{'media': 'TVCI'}],BFT
all,Femme,5.134722222222222,,H,5 heures 8 minutes,29%,2022-05-05,[{'media': 'TVCI'}],BFT
all,Homme,11.261111111111111,,H,11 heures 15 minutes,65%,2022-05-05,[{'media': 'TVCI'}],BFT
all,Bruit,0.17583333333333334,,H,10 minutes,1%,2022-05-06,[{'media': 'TVCI'}],BFT
all,Musique,1.0386111111111112,,H,1 heure 2 minutes,6%,2022-05-06,[{'media': 'TVCI'}],BFT
all,Femme,7.338333333333333,,H,7 heures 20 minutes,42%,2022-05-06,[{'media': 'TVCI'}],BFT
all,Homme,8.843333333333334,,H,8 heures 50 minutes,51%,2022-05-06,[{'media': 'TVCI'}],BFT
all,Bruit,0.29194444444444445,,H,17 minutes,2%,2022-05-07,[{'media': 'TVCI'}],BFT
