entity,type,value,valueOnHours,unit,legend,percent,date,chartDatasRow,channel
all,Bruit,0.18638888888888888,,H,11 minutes,1%,2016-08-01,[{'media': 'TVCI'}],BFT
all,Silence,0.49805555555555553,,H,29 minutes,3%,2016-08-01,[{'media': 'TVCI'}],BFT
all,Musique,1.1908333333333334,,H,1 heure 11 minutes,7%,2016-08-01,[{'media': 'TVCI'}],BFT
all,Femme,6.303888888888889,,H,6 heures 18 minutes,35%,2016-08-01,[{'media': 'TVCI'}],BFT
all,Homme,9.820277777777777,,H,9 heures 49 minutes,55%,2016-08-01,[{'media': 'TVCI'}],BFT
all,Bruit,0.22,,H,13 minutes,1%,2016-08-02,[{'media': 'TVCI'}],BFT
all,Silence,0.6011111111111112,,H,36 minutes,3%,2016-08-02,[{'media': 'TVCI'}],BFT
all,Musique,0.9972222222222222,,H,59 minutes,6%,2016-08-02,[{'media': 'TVCI'}],BFT
all,Femme,6.8341666666666665,,H,6 heures 50 minutes,38%,2016-08-02,[{'media': 'TVCI'}],BFT
all,Homme,9.346944444444444,,H,9 heures 20 minutes,52%,2016-08-02,[{'media': 'TVCI'}],BFT
all,Bruit,0.20805555555555555,,H,12 minutes,1%,2016-08-03,[{'media': 'TVCI'}],BFT
all,Silence,0.5061111111111111,,H,30 minutes,3%,2016-08-03,[{'media': 'TVCI'}],BFT
all,Musique,1.0752777777777778,,H,1 heure 4 minutes,6%,2016-08-03,[{'media': 'TVCI'}],BFT
all,Femme,6.299444444444444,,H,6 heures 17 minutes,35%,2016-08-03,[{'media': 'TVCI'}],BFT
all,Homme,9.910555555555556,,H,9 heures 54 minutes,55%,2016-08-03,[{'media': 'TVCI'}],BFT
all,Bruit,0.2288888888888889,,H,13 minutes,1%,2016-08-04,[{'media': 'TVCI'}],BFT
all,Silence,0.5072222222222222,,H,30 minutes,3%,2016-08-04,[{'media': 'TVCI'}],BFT
all,Musique,1.1613888888888888,,H,1 heure 9 minutes,6%,2016-08-04,[{'media': 'TVCI'}],BFT
all,Femme,6.4475,,H,6 heures 26 minutes,36%,2016-08-04,[{'media': 'TVCI'}],BFT
all,Homme,9.654444444444444,,H,9 heures 39 minutes,54%,2016-08-04,[{'media': 'TVCI'}],BFT
all,Bruit,0.2872222222222222,,H,17 minutes,2%,2016-08-05,[{'media': 'TVCI'}],BFT
all,Silence,0.47194444444444444,,H,28 minutes,3%,2016-08-05,[{'media': 'TVCI'}],BFT
all,Musique,1.0905555555555555,,H,1 heure 5 minutes,6%,2016-08-05,[{'media': 'TVCI'}],BFT
all,Femme,5.731111111111111,,H,5 heures 43 minutes,32%,2016-08-05,[{'media': 'TVCI'}],BFT
all,Homme,10.418611111111112,,H,10 heures 25 minutes,58%,2016-08-05,[{'media': 'TVCI'}],BFT
all,Bruit,0.2961111111111111,,H,17 minutes,2%,2016-08-06,[{'media': 'TVCI'}],BFT
all,Silence,0.5380555555555555,,H,32 minutes,3%,2016-08-06,[{'media': 'TVCI'}],BFT
all,Musique,1.0572222222222223,,H,1 heure 3 minutes,6%,2016-08-06,[{'media': 'TVCI'}],BFT
