entity,type,value,valueOnHours,unit,legend,percent,date,chartDatasRow,channel
all,Bruit,0.2752777777777778,,H,16 minutes,2%,2015-11-01,[{'media': 'TVCI'}],BFT
all,Silence,0.5777777777777777,,H,34 minutes,3%,2015-11-01,[{'media': 'TVCI'}],BFT
all,Musique,1.6516666666666666,,H,1 heure 39 minutes,9%,2015-11-01,[{'media': 'TVCI'}],BFT
all,Femme,7.323611111111111,,H,7 heures 19 minutes,41%,2015-11-01,[{'media': 'TVCI'}],BFT
all,Homme,8.171111111111111,,H,8 heures 10 minutes,45%,2015-11-01,[{'media': 'TVCI'}],BFT
all,Bruit,0.19694444444444445,,H,11 minutes,1%,2015-11-02,[{'media': 'TVCI'}],BFT
all,Silence,0.5894444444444444,,H,35 minutes,3%,2015-11-02,[{'media': 'TVCI'}],BFT
all,Musique,1.5233333333333334,,H,1 heure 31 minutes,8%,2015-11-02,[{'media': 'TVCI'}],BFT
all,Femme,4.9675,,H,4 heures 58 minutes,28%,2015-11-02,[{'media': 'TVCI'}],BFT
all,Homme,10.722222222222221,,H,10 heures 43 minutes,60%,2015-11-02,[{'media': 'TVCI'}],BFT
all,Bruit,0.18694444444444444,,H,11 minutes,1%,2015-11-03,[{'media': 'TVCI'}],BFT
all,Silence,0.5022222222222222,,H,30 minutes,3%,2015-11-03,[{'media': 'TVCI'}],BFT
all,Musique,1.4102777777777777,,H,1 heure 24 minutes,8%,2015-11-03,[{'media': 'TVCI'}],BFT
all,Femme,4.864166666666667,,H,4 heures 51 minutes,27%,2015-11-03,[{'media': 'TVCI'}],BFT
all,Homme,11.035833333333333,,H,11 heures 2 minutes,61%,2015-11-03,[{'media': 'TVCI'}],BFT
all,Bruit,0.20944444444444443,,H,12 minutes,1%,2015-11-04,[{'media': 'TVCI'}],BFT
all,Silence,0.5216666666666666,,H,31 minutes,3%,2015-11-04,[{'media': 'TVCI'}],BFT
all,Musique,1.5755555555555556,,H,1 heure 34 minutes,9%,2015-11-04,[{'media': 'TVCI'}],BFT
all,Femme,5.336111111111111,,H,5 heures 20 minutes,30%,2015-11-04,[{'media': 'TVCI'}],BFT
all,Homme,10.356666666666667,,H,10 heures 21 minutes,58%,2015-11-04,[{'media': 'TVCI'}],BFT
all,Bruit,0.1825,,H,10 minutes,1%,2015-11-05,[{'media': 'TVCI'}],BFT
all,Silence,0.5302777777777777,,H,31 minutes,3%,2015-11-05,[{'media': 'TVCI'}],BFT
all,Musique,1.3722222222222222,,H,1 heure 22 minutes,8%,2015-11-05,[{'media': 'TVCI'}],BFT
all,Femme,4.894166666666667,,H,4 heures 53 minutes,27%,2015-11-05,[{'media': 'TVCI'}],BFT
all,Homme,11.020277777777778,,H,11 heures 1 minute,61%,2015-11-05,[{'media': 'TVCI'}],BFT
all,Bruit,0.19083333333333333,,H,11 minutes,1%,2015-11-06,[{'media': 'TVCI'}],BFT
all,Silence,0.5769444444444445,,H,34 minutes,3%,2015-11-06,[{'media': 'TVCI'}],BFT
all,Musique,1.4541666666666666,,H,1 heure 27 minutes,8%,2015-11-06,[{'media': 'TVCI'}],BFT
all,Femme,5.280277777777778,,H,5 heures 16 minutes,29%,2015-11-06,[{'media': 'TVCI'}],BFT
