entity,type,value,valueOnHours,unit,legend,percent,date,chartDatasRow,channel
all,Bruit,0.32805555555555554,,H,19 minutes,2%,2017-01-01,[{'media': 'TVCI'}],BFT
all,Silence,0.5191666666666667,,H,31 minutes,3%,2017-01-01,[{'media': 'TVCI'}],BFT
all,Musique,1.3927777777777777,,H,1 heure 23 minutes,8%,2017-01-01,[{'media': 'TVCI'}],BFT
all,Femme,5.623888888888889,,H,5 heures 37 minutes,31%,2017-01-01,[{'media': 'TVCI'}],BFT
all,Homme,10.135277777777778,,H,10 heures 8 minutes,56%,2017-01-01,[{'media': 'TVCI'}],BFT
all,Bruit,0.2544444444444444,,H,15 minutes,1%,2017-01-02,[{'media': 'TVCI'}],BFT
all,Silence,0.5202777777777777,,H,31 minutes,3%,2017-01-02,[{'media': 'TVCI'}],BFT
all,Musique,1.258888888888889,,H,1 heure 15 minutes,7%,2017-01-02,[{'media': 'TVCI'}],BFT
all,Femme,4.918888888888889,,H,4 heures 55 minutes,27%,2017-01-02,[{'media': 'TVCI'}],BFT
all,Homme,11.047222222222222,,H,11 heures 2 minutes,61%,2017-01-02,[{'media': 'TVCI'}],BFT
all,Bruit,0.24388888888888888,,H,14 minutes,1%,2017-01-03,[{'media': 'TVCI'}],BFT
all,Silence,0.4938888888888889,,H,29 minutes,3%,2017-01-03,[{'media': 'TVCI'}],BFT
all,Musique,1.2980555555555555,,H,1 heure 17 minutes,7%,2017-01-03,[{'media': 'TVCI'}],BFT
all,Femme,5.708888888888889,,H,5 heures 42 minutes,32%,2017-01-03,[{'media': 'TVCI'}],BFT
all,Homme,10.254722222222222,,H,10 heures 15 minutes,57%,2017-01-03,[{'media': 'TVCI'}],BFT
all,Bruit,0.26861111111111113,,H,16 minutes,1%,2017-01-04,[{'media': 'TVCI'}],BFT
all,Silence,0.42138888888888887,,H,25 minutes,2%,2017-01-04,[{'media': 'TVCI'}],BFT
all,Musique,1.1608333333333334,,H,1 heure 9 minutes,6%,2017-01-04,[{'media': 'TVCI'}],BFT
all,Femme,5.462777777777778,,H,5 heures 27 minutes,30%,2017-01-04,[{'media': 'TVCI'}],BFT
all,Homme,10.685555555555556,,H,10 heures 41 minutes,59%,2017-01-04,[{'media': 'TVCI'}],BFT
all,Bruit,0.2475,,H,14 minutes,1%,2017-01-05,[{'media': 'TVCI'}],BFT
all,Silence,0.4775,,H,28 minutes,3%,2017-01-05,[{'media': 'TVCI'}],BFT
all,Musique,1.2955555555555556,,H,1 heure 17 minutes,7%,2017-01-05,[{'media': 'TVCI'}],BFT
all,Femme,5.524444444444445,,H,5 heures 31 minutes,31%,2017-01-05,[{'media': 'TVCI'}],BFT
