entity,type,value,valueOnHours,unit,legend,percent,date,chartDatasRow,channel
all,Bruit,0.30722222222222223,,H,18 minutes,2%,2020-01-01,[{'media': 'TVCI'}],BFT
all,Silence,0.5383333333333333,,H,32 minutes,3%,2020-01-01,[{'media': 'TVCI'}],BFT
all,Musique,1.41,,H,1 heure 24 minutes,8%,2020-01-01,[{'media': 'TVCI'}],BFT
all,Femme,6.323333333333333,,H,6 heures 19 minutes,35%,2020-01-01,[{'media': 'TVCI'}],BFT
all,Homme,9.425,,H,9 heures 25 minutes,52%,2020-01-01,[{'media': 'TVCI'}],BFT
all,Bruit,0.09305555555555556,,H,5 minutes,1%,2020-01-02,[{'media': 'TVCI'}],BFT
all,Silence,0.4152777777777778,,H,24 minutes,2%,2020-01-02,[{'media': 'TVCI'}],BFT
all,Musique,1.0611111111111111,,H,1 heure 3 minutes,6%,2020-01-02,[{'media': 'TVCI'}],BFT
all,Femme,6.906666666666666,,H,6 heures 54 minutes,38%,2020-01-02,[{'media': 'TVCI'}],BFT
all,Homme,9.528055555555556,,H,9 heures 31 minutes,53%,2020-01-02,[{'media': 'TVCI'}],BFT
all,Bruit,0.10416666666666667,,H,6 minutes,1%,2020-01-03,[{'media': 'TVCI'}],BFT
all,Silence,0.4247222222222222,,H,25 minutes,2%,2020-01-03,[{'media': 'TVCI'}],BFT
all,Musique,1.0308333333333333,,H,1 heure 1 minute,6%,2020-01-03,[{'media': 'TVCI'}],BFT
all,Femme,6.009722222222222,,H,6 heures 0 minute,33%,2020-01-03,[{'media': 'TVCI'}],BFT
all,Homme,10.434722222222222,,H,10 heures 26 minutes,58%,2020-01-03,[{'media': 'TVCI'}],BFT
all,Bruit,0.19111111111111112,,H,11 minutes,1%,2020-01-04,[{'media': 'TVCI'}],BFT
all,Silence,0.5077777777777778,,H,30 minutes,3%,2020-01-04,[{'media': 'TVCI'}],BFT
all,Musique,1.3102777777777779,,H,1 heure 18 minutes,7%,2020-01-04,[{'media': 'TVCI'}],BFT
all,Femme,4.9302777777777775,,H,4 heures 55 minutes,27%,2020-01-04,[{'media': 'TVCI'}],BFT
all,Homme,11.064444444444444,,H,11 heures 3 minutes,61%,2020-01-04,[{'media': 'TVCI'}],BFT
all,Bruit,0.14972222222222223,,H,8 minutes,1%,2020-01-05,[{'media': 'TVCI'}],BFT
all,Silence,0.47833333333333333,,H,28 minutes,3%,2020-01-05,[{'media': 'TVCI'}],BFT
all,Musique,1.4561111111111111,,H,1 heure 27 minutes,8%,2020-01-05,[{'media': 'TVCI'}],BFT
all,Femme,5.327222222222222,,H,5 heures 19 minutes,30%,2020-01-05,[{'media': 'TVCI'}],BFT
all,Homme,10.591944444444444,,H,10 heures 35 minutes,59%,2020-01-05,[{'media': 'TVCI'}],BFT
all,Bruit,0.13666666666666666,,H,8 minutes,1%,2020-01-06,[{'media': 'TVCI'}],BFT
all,Silence,0.43583333333333335,,H,26 minutes,2%,2020-01-06,[{'media': 'TVCI'}],BFT
all,Musique,1.5230555555555556,,H,1 heure 31 minutes,8%,2020-01-06,[{'media': 'TVCI'}],BFT
all,Femme,5.056666666666667,,H,5 heures 3 minutes,28%,2020-01-06,[{'media': 'TVCI'}],BFT
all,Homme,10.851666666666667,,H,10 heures 51 minutes,60%,2020-01-06,[{'media': 'TVCI'}],BFT
all,Bruit,0.1663888888888889,,H,9 minutes,1%,2020-01-07,[{'media': 'TVCI'}],BFT
all,Silence,0.4747222222222222,,H,28 minutes,3%,2020-01-07,[{'media': 'TVCI'}],BFT
all,Musique,1.6855555555555555,,H,1 heure 41 minutes,9%,2020-01-07,[{'media': 'TVCI'}],BFT
all,Femme,5.533611111111111,,H,5 heures 32 minutes,31%,2020-01-07,[{'media': 'TVCI'}],BFT
all,Homme,10.143333333333333,,H,10 heures 8 minutes,56%,2020-01-07,[{'media': 'TVCI'}],BFT
all,Bruit,0.13583333333333333,,H,8 minutes,1%,2020-01-08,[{'media': 'TVCI'}],BFT
all,Silence,0.39805555555555555,,H,23 minutes,2%,2020-01-08,[{'media': 'TVCI'}],BFT
all,Musique,1.2066666666666668,,H,1 heure 12 minutes,7%,2020-01-08,[{'media': 'TVCI'}],BFT
all,Femme,4.525277777777778,,H,4 heures 31 minutes,25%,2020-01-08,[{'media': 'TVCI'}],BFT
all,Homme,11.738333333333333,,H,11 heures 44 minutes,65%,2020-01-08,[{'media': 'TVCI'}],BFT
all,Bruit,0.16111111111111112,,H,9 minutes,1%,2020-01-09,[{'media': 'TVCI'}],BFT
all,Silence,0.35694444444444445,,H,21 minutes,2%,2020-01-09,[{'media': 'TVCI'}],BFT
all,Musique,1.38,,H,1 heure 22 minutes,8%,2020-01-09,[{'media': 'TVCI'}],BFT
all,Femme,4.9063888888888885,,H,4 heures 54 minutes,27%,2020-01-09,[{'media': 'TVCI'}],BFT
all,Homme,11.199722222222222,,H,11 heures 11 minutes,62%,2020-01-09,[{'media': 'TVCI'}],BFT
all,Bruit,0.20777777777777778,,H,12 minutes,1%,2020-01-10,[{'media': 'TVCI'}],BFT
all,Silence,0.44222222222222224,,H,26 minutes,2%,2020-01-10,[{'media': 'TVCI'}],BFT
all,Musique,1.531111111111111,,H,1 heure 31 minutes,9%,2020-01-10,[{'media': 'TVCI'}],BFT
all,Femme,4.947222222222222,,H,4 heures 56 minutes,27%,2020-01-10,[{'media': 'TVCI'}],BFT
all,Homme,10.875555555555556,,H,10 heures 52 minutes,60%,2020-01-10,[{'media': 'TVCI'}],BFT
all,Bruit,0.13833333333333334,,H,8 minutes,1%,2020-01-11,[{'media': 'TVCI'}],BFT
all,Silence,0.3302777777777778,,H,19 minutes,2%,2020-01-11,[{'media': 'TVCI'}],BFT
all,Musique,1.2069444444444444,,H,1 heure 12 minutes,7%,2020-01-11,[{'media': 'TVCI'}],BFT
all,Femme,5.123888888888889,,H,5 heures 7 minutes,28%,2020-01-11,[{'media': 'TVCI'}],BFT
all,Homme,11.204722222222221,,H,11 heures 12 minutes,62%,2020-01-11,[{'media': 'TVCI'}],BFT
all,Bruit,0.19333333333333333,,H,11 minutes,1%,2020-01-12,[{'media': 'TVCI'}],BFT
all,Silence,0.5838888888888889,,H,35 minutes,3%,2020-01-12,[{'media': 'TVCI'}],BFT
all,Musique,1.8541666666666667,,H,1 heure 51 minutes,10%,2020-01-12,[{'media': 'TVCI'}],BFT
all,Femme,5.660833333333334,,H,5 heures 39 minutes,31%,2020-01-12,[{'media': 'TVCI'}],BFT
all,Homme,9.711388888888889,,H,9 heures 42 minutes,54%,2020-01-12,[{'media': 'TVCI'}],BFT
all,Bruit,0.21,,H,12 minutes,1%,2020-01-13,[{'media': 'TVCI'}],BFT
all,Silence,0.4519444444444444,,H,27 minutes,3%,2020-01-13,[{'media': 'TVCI'}],BFT
all,Musique,1.6888888888888889,,H,1 heure 41 minutes,9%,2020-01-13,[{'media': 'TVCI'}],BFT
all,Femme,5.883611111111111,,H,5 heures 53 minutes,33%,2020-01-13,[{'media': 'TVCI'}],BFT
all,Homme,9.769166666666667,,H,9 heures 46 minutes,54%,2020-01-13,[{'media': 'TVCI'}],BFT
all,Bruit,0.20666666666666667,,H,12 minutes,1%,2020-01-14,[{'media': 'TVCI'}],BFT
all,Silence,0.42527777777777775,,H,25 minutes,2%,2020-01-14,[{'media': 'TVCI'}],BFT
all,Musique,1.6747222222222222,,H,1 heure 40 minutes,9%,2020-01-14,[{'media': 'TVCI'}],BFT
all,Femme,5.268055555555556,,H,5 heures 16 minutes,29%,2020-01-14,[{'media': 'TVCI'}],BFT
all,Homme,10.428611111111111,,H,10 heures 25 minutes,58%,2020-01-14,[{'media': 'TVCI'}],BFT
all,Bruit,0.15416666666666667,,H,9 minutes,1%,2020-01-15,[{'media': 'TVCI'}],BFT
all,Silence,0.5538888888888889,,H,33 minutes,3%,2020-01-15,[{'media': 'TVCI'}],BFT
all,Musique,1.6063888888888889,,H,1 heure 36 minutes,9%,2020-01-15,[{'media': 'TVCI'}],BFT
all,Femme,4.460555555555556,,H,4 heures 27 minutes,25%,2020-01-15,[{'media': 'TVCI'}],BFT
all,Homme,11.228333333333333,,H,11 heures 13 minutes,62%,2020-01-15,[{'media': 'TVCI'}],BFT
all,Bruit,0.15222222222222223,,H,9 minutes,1%,2020-01-16,[{'media': 'TVCI'}],BFT
all,Silence,0.39194444444444443,,H,23 minutes,2%,2020-01-16,[{'media': 'TVCI'}],BFT
all,Musique,1.4094444444444445,,H,1 heure 24 minutes,8%,2020-01-16,[{'media': 'TVCI'}],BFT
all,Femme,6.193333333333333,,H,6 heures 11 minutes,34%,2020-01-16,[{'media': 'TVCI'}],BFT
all,Homme,9.856666666666667,,H,9 heures 51 minutes,55%,2020-01-16,[{'media': 'TVCI'}],BFT
all,Bruit,0.23,,H,13 minutes,1%,2020-01-17,[{'media': 'TVCI'}],BFT
all,Silence,0.5152777777777777,,H,30 minutes,3%,2020-01-17,[{'media': 'TVCI'}],BFT
all,Musique,1.8855555555555557,,H,1 heure 53 minutes,10%,2020-01-17,[{'media': 'TVCI'}],BFT
all,Femme,5.002777777777778,,H,5 heures 0 minute,28%,2020-01-17,[{'media': 'TVCI'}],BFT
all,Homme,10.37,,H,10 heures 22 minutes,58%,2020-01-17,[{'media': 'TVCI'}],BFT
all,Bruit,0.3202777777777778,,H,19 minutes,2%,2020-01-18,[{'media': 'TVCI'}],BFT
all,Silence,0.38333333333333336,,H,23 minutes,2%,2020-01-18,[{'media': 'TVCI'}],BFT
all,Musique,1.875,,H,1 heure 52 minutes,10%,2020-01-18,[{'media': 'TVCI'}],BFT
all,Femme,4.890555555555555,,H,4 heures 53 minutes,27%,2020-01-18,[{'media': 'TVCI'}],BFT
all,Homme,10.534444444444444,,H,10 heures 32 minutes,59%,2020-01-18,[{'media': 'TVCI'}],BFT
all,Bruit,0.2361111111111111,,H,14 minutes,1%,2020-01-19,[{'media': 'TVCI'}],BFT
all,Silence,0.46,,H,27 minutes,3%,2020-01-19,[{'media': 'TVCI'}],BFT
all,Musique,2.0933333333333333,,H,2 heures 5 minutes,12%,2020-01-19,[{'media': 'TVCI'}],BFT
all,Femme,6.7825,,H,6 heures 46 minutes,38%,2020-01-19,[{'media': 'TVCI'}],BFT
all,Homme,8.43138888888889,,H,8 heures 25 minutes,47%,2020-01-19,[{'media': 'TVCI'}],BFT
all,Bruit,0.2544444444444444,,H,15 minutes,1%,2020-01-20,[{'media': 'TVCI'}],BFT
all,Silence,0.7166666666666667,,H,43 minutes,4%,2020-01-20,[{'media': 'TVCI'}],BFT
all,Musique,1.7855555555555556,,H,1 heure 47 minutes,10%,2020-01-20,[{'media': 'TVCI'}],BFT
all,Femme,4.694166666666667,,H,4 heures 41 minutes,26%,2020-01-20,[{'media': 'TVCI'}],BFT
all,Homme,10.553055555555556,,H,10 heures 33 minutes,59%,2020-01-20,[{'media': 'TVCI'}],BFT
all,Bruit,0.27444444444444444,,H,16 minutes,2%,2020-01-21,[{'media': 'TVCI'}],BFT
all,Silence,0.5183333333333333,,H,31 minutes,3%,2020-01-21,[{'media': 'TVCI'}],BFT
all,Musique,1.9616666666666667,,H,1 heure 57 minutes,11%,2020-01-21,[{'media': 'TVCI'}],BFT
all,Femme,4.6175,,H,4 heures 37 minutes,26%,2020-01-21,[{'media': 'TVCI'}],BFT
all,Homme,10.6325,,H,10 heures 37 minutes,59%,2020-01-21,[{'media': 'TVCI'}],BFT
all,Bruit,0.29055555555555557,,H,17 minutes,2%,2020-01-22,[{'media': 'TVCI'}],BFT
all,Silence,0.46694444444444444,,H,28 minutes,3%,2020-01-22,[{'media': 'TVCI'}],BFT
all,Musique,1.8211111111111111,,H,1 heure 49 minutes,10%,2020-01-22,[{'media': 'TVCI'}],BFT
all,Femme,4.988611111111111,,H,4 heures 59 minutes,28%,2020-01-22,[{'media': 'TVCI'}],BFT
all,Homme,10.436666666666667,,H,10 heures 26 minutes,58%,2020-01-22,[{'media': 'TVCI'}],BFT
all,Bruit,0.25194444444444447,,H,15 minutes,1%,2020-01-23,[{'media': 'TVCI'}],BFT
all,Silence,0.6544444444444445,,H,39 minutes,4%,2020-01-23,[{'media': 'TVCI'}],BFT
all,Musique,1.7413888888888889,,H,1 heure 44 minutes,10%,2020-01-23,[{'media': 'TVCI'}],BFT
all,Femme,4.843055555555556,,H,4 heures 50 minutes,27%,2020-01-23,[{'media': 'TVCI'}],BFT
all,Homme,10.513333333333334,,H,10 heures 30 minutes,58%,2020-01-23,[{'media': 'TVCI'}],BFT
all,Bruit,0.20305555555555554,,H,12 minutes,1%,2020-01-24,[{'media': 'TVCI'}],BFT
all,Silence,0.5447222222222222,,H,32 minutes,3%,2020-01-24,[{'media': 'TVCI'}],BFT
all,Musique,1.4858333333333333,,H,1 heure 29 minutes,8%,2020-01-24,[{'media': 'TVCI'}],BFT
all,Femme,5.208055555555555,,H,5 heures 12 minutes,29%,2020-01-24,[{'media': 'TVCI'}],BFT
all,Homme,10.562222222222223,,H,10 heures 33 minutes,59%,2020-01-24,[{'media': 'TVCI'}],BFT
all,Bruit,0.35055555555555556,,H,21 minutes,2%,2020-01-25,[{'media': 'TVCI'}],BFT
all,Silence,0.5102777777777778,,H,30 minutes,3%,2020-01-25,[{'media': 'TVCI'}],BFT
all,Musique,2.4244444444444446,,H,2 heures 25 minutes,13%,2020-01-25,[{'media': 'TVCI'}],BFT
all,Femme,5.0938888888888885,,H,5 heures 5 minutes,28%,2020-01-25,[{'media': 'TVCI'}],BFT
all,Homme,9.624722222222223,,H,9 heures 37 minutes,53%,2020-01-25,[{'media': 'TVCI'}],BFT
all,Bruit,0.24305555555555555,,H,14 minutes,1%,2020-01-26,[{'media': 'TVCI'}],BFT
all,Silence,0.6183333333333333,,H,37 minutes,3%,2020-01-26,[{'media': 'TVCI'}],BFT
all,Musique,2.125,,H,2 heures 7 minutes,12%,2020-01-26,[{'media': 'TVCI'}],BFT
all,Femme,5.213055555555556,,H,5 heures 12 minutes,29%,2020-01-26,[{'media': 'TVCI'}],BFT
all,Homme,9.805,,H,9 heures 48 minutes,54%,2020-01-26,[{'media': 'TVCI'}],BFT
all,Bruit,0.19666666666666666,,H,11 minutes,1%,2020-01-27,[{'media': 'TVCI'}],BFT
all,Silence,0.6997222222222222,,H,41 minutes,4%,2020-01-27,[{'media': 'TVCI'}],BFT
all,Musique,1.8891666666666667,,H,1 heure 53 minutes,10%,2020-01-27,[{'media': 'TVCI'}],BFT
all,Femme,4.5569444444444445,,H,4 heures 33 minutes,25%,2020-01-27,[{'media': 'TVCI'}],BFT
all,Homme,10.661666666666667,,H,10 heures 39 minutes,59%,2020-01-27,[{'media': 'TVCI'}],BFT
all,Bruit,0.1836111111111111,,H,11 minutes,1%,2020-01-28,[{'media': 'TVCI'}],BFT
all,Silence,0.39111111111111113,,H,23 minutes,2%,2020-01-28,[{'media': 'TVCI'}],BFT
all,Musique,1.6711111111111112,,H,1 heure 40 minutes,9%,2020-01-28,[{'media': 'TVCI'}],BFT
all,Femme,6.056111111111111,,H,6 heures 3 minutes,34%,2020-01-28,[{'media': 'TVCI'}],BFT
all,Homme,9.701944444444445,,H,9 heures 42 minutes,54%,2020-01-28,[{'media': 'TVCI'}],BFT
all,Bruit,0.18055555555555555,,H,10 minutes,1%,2020-01-29,[{'media': 'TVCI'}],BFT
all,Silence,0.4211111111111111,,H,25 minutes,2%,2020-01-29,[{'media': 'TVCI'}],BFT
all,Musique,1.5577777777777777,,H,1 heure 33 minutes,9%,2020-01-29,[{'media': 'TVCI'}],BFT
all,Femme,6.268055555555556,,H,6 heures 16 minutes,35%,2020-01-29,[{'media': 'TVCI'}],BFT
all,Homme,9.57638888888889,,H,9 heures 34 minutes,53%,2020-01-29,[{'media': 'TVCI'}],BFT
all,Bruit,0.19305555555555556,,H,11 minutes,1%,2020-01-30,[{'media': 'TVCI'}],BFT
all,Silence,0.49944444444444447,,H,29 minutes,3%,2020-01-30,[{'media': 'TVCI'}],BFT
all,Musique,1.7541666666666667,,H,1 heure 45 minutes,10%,2020-01-30,[{'media': 'TVCI'}],BFT
all,Femme,5.426111111111111,,H,5 heures 25 minutes,30%,2020-01-30,[{'media': 'TVCI'}],BFT
all,Homme,10.130555555555556,,H,10 heures 7 minutes,56%,2020-01-30,[{'media': 'TVCI'}],BFT
all,Bruit,0.22444444444444445,,H,13 minutes,1%,2020-01-31,[{'media': 'TVCI'}],BFT
all,Silence,0.5455555555555556,,H,32 minutes,3%,2020-01-31,[{'media': 'TVCI'}],BFT
all,Musique,1.7383333333333333,,H,1 heure 44 minutes,10%,2020-01-31,[{'media': 'TVCI'}],BFT
all,Femme,5.1425,,H,5 heures 8 minutes,29%,2020-01-31,[{'media': 'TVCI'}],BFT
all,Homme,10.3525,,H,10 heures 21 minutes,58%,2020-01-31,[{'media': 'TVCI'}],BFT
all,Bruit,0.22027777777777777,,H,13 minutes,1%,2020-01-01,[{'media': 'TVCI'}],C+N
all,Silence,0.4275,,H,25 minutes,2%,2020-01-01,[{'media': 'TVCI'}],C+N
all,Musique,1.316111111111111,,H,1 heure 18 minutes,7%,2020-01-01,[{'media': 'TVCI'}],C+N
all,Femme,5.634722222222222,,H,5 heures 38 minutes,31%,2020-01-01,[{'media': 'TVCI'}],C+N
all,Homme,10.405277777777778,,H,10 heures 24 minutes,58%,2020-01-01,[{'media': 'TVCI'}],C+N
all,Bruit,0.1213888888888889,,H,7 minutes,1%,2020-01-02,[{'media': 'TVCI'}],C+N
all,Silence,0.37472222222222223,,H,22 minutes,2%,2020-01-02,[{'media': 'TVCI'}],C+N
all,Musique,1.2277777777777779,,H,1 heure 13 minutes,7%,2020-01-02,[{'media': 'TVCI'}],C+N
all,Femme,6.533888888888889,,H,6 heures 32 minutes,36%,2020-01-02,[{'media': 'TVCI'}],C+N
all,Homme,9.745833333333334,,H,9 heures 44 minutes,54%,2020-01-02,[{'media': 'TVCI'}],C+N
