entity,type,value,valueOnHours,unit,legend,percent,date,chartDatasRow,channel
all,Bruit,0.24861111111111112,,H,14 minutes,1%,2019-03-01,[{'media': 'TVCI'}],BFT
all,Silence,0.6747222222222222,,H,40 minutes,4%,2019-03-01,[{'media': 'TVCI'}],BFT
all,Musique,0.8288888888888889,,H,49 minutes,5%,2019-03-01,[{'media': 'TVCI'}],BFT
all,Femme,5.060277777777777,,H,5 heures 3 minutes,28%,2019-03-01,[{'media': 'TVCI'}],BFT
all,Homme,11.19138888888889,,H,11 heures 11 minutes,62%,2019-03-01,[{'media': 'TVCI'}],BFT
all,Bruit,0.2127777777777778,,H,12 minutes,1%,2019-03-02,[{'media': 'TVCI'}],BFT
all,Silence,0.36277777777777775,,H,21 minutes,2%,2019-03-02,[{'media': 'TVCI'}],BFT
all,Musique,0.9475,,H,56 minutes,5%,2019-03-02,[{'media': 'TVCI'}],BFT
all,Femme,5.336388888888889,,H,5 heures 20 minutes,30%,2019-03-02,[{'media': 'TVCI'}],BFT
all,Homme,11.144444444444444,,H,11 heures 8 minutes,62%,2019-03-02,[{'media': 'TVCI'}],BFT
all,Bruit,0.37777777777777777,,H,22 minutes,2%,2019-03-03,[{'media': 'TVCI'}],BFT
all,Silence,0.8194444444444444,,H,49 minutes,5%,2019-03-03,[{'media': 'TVCI'}],BFT
all,Musique,1.7708333333333333,,H,1 heure 46 minutes,10%,2019-03-03,[{'media': 'TVCI'}],BFT
all,Femme,5.691388888888889,,H,5 heures 41 minutes,32%,2019-03-03,[{'media': 'TVCI'}],BFT
all,Homme,9.344444444444445,,H,9 heures 20 minutes,52%,2019-03-03,[{'media': 'TVCI'}],BFT
all,Bruit,0.3597222222222222,,H,21 minutes,2%,2019-03-04,[{'media': 'TVCI'}],BFT
all,Silence,0.5402777777777777,,H,32 minutes,3%,2019-03-04,[{'media': 'TVCI'}],BFT
all,Musique,1.4336111111111112,,H,1 heure 26 minutes,8%,2019-03-04,[{'media': 'TVCI'}],BFT
all,Femme,5.113888888888889,,H,5 heures 6 minutes,28%,2019-03-04,[{'media': 'TVCI'}],BFT
all,Homme,10.55638888888889,,H,10 heures 33 minutes,59%,2019-03-04,[{'media': 'TVCI'}],BFT
all,Bruit,0.3347222222222222,,H,20 minutes,2%,2019-03-05,[{'media': 'TVCI'}],BFT
all,Silence,0.4836111111111111,,H,29 minutes,3%,2019-03-05,[{'media': 'TVCI'}],BFT
all,Musique,1.341388888888889,,H,1 heure 20 minutes,7%,2019-03-05,[{'media': 'TVCI'}],BFT
all,Femme,5.594444444444444,,H,5 heures 35 minutes,31%,2019-03-05,[{'media': 'TVCI'}],BFT
all,Homme,10.249722222222223,,H,10 heures 14 minutes,57%,2019-03-05,[{'media': 'TVCI'}],BFT
all,Bruit,0.3022222222222222,,H,18 minutes,2%,2019-03-06,[{'media': 'TVCI'}],BFT
all,Silence,0.5983333333333334,,H,35 minutes,3%,2019-03-06,[{'media': 'TVCI'}],BFT
all,Musique,1.4155555555555555,,H,1 heure 24 minutes,8%,2019-03-06,[{'media': 'TVCI'}],BFT
all,Femme,4.580277777777778,,H,4 heures 34 minutes,25%,2019-03-06,[{'media': 'TVCI'}],BFT
all,Homme,11.108055555555556,,H,11 heures 6 minutes,62%,2019-03-06,[{'media': 'TVCI'}],BFT
all,Bruit,0.3016666666666667,,H,18 minutes,2%,2019-03-07,[{'media': 'TVCI'}],BFT
all,Silence,0.5305555555555556,,H,31 minutes,3%,2019-03-07,[{'media': 'TVCI'}],BFT
all,Musique,1.1633333333333333,,H,1 heure 9 minutes,6%,2019-03-07,[{'media': 'TVCI'}],BFT
all,Femme,5.225,,H,5 heures 13 minutes,29%,2019-03-07,[{'media': 'TVCI'}],BFT
all,Homme,10.783611111111112,,H,10 heures 47 minutes,60%,2019-03-07,[{'media': 'TVCI'}],BFT
all,Bruit,0.36277777777777775,,H,21 minutes,2%,2019-03-08,[{'media': 'TVCI'}],BFT
all,Silence,0.5233333333333333,,H,31 minutes,3%,2019-03-08,[{'media': 'TVCI'}],BFT
all,Musique,1.6152777777777778,,H,1 heure 36 minutes,9%,2019-03-08,[{'media': 'TVCI'}],BFT
all,Femme,6.553888888888889,,H,6 heures 33 minutes,36%,2019-03-08,[{'media': 'TVCI'}],BFT
all,Homme,8.948611111111111,,H,8 heures 56 minutes,50%,2019-03-08,[{'media': 'TVCI'}],BFT
all,Silence,0.3738888888888889,,H,22 minutes,2%,2019-03-09,[{'media': 'TVCI'}],BFT
all,Bruit,0.4125,,H,24 minutes,2%,2019-03-09,[{'media': 'TVCI'}],BFT
all,Musique,1.2577777777777779,,H,1 heure 15 minutes,7%,2019-03-09,[{'media': 'TVCI'}],BFT
all,Femme,4.824722222222222,,H,4 heures 49 minutes,27%,2019-03-09,[{'media': 'TVCI'}],BFT
all,Homme,11.135277777777778,,H,11 heures 8 minutes,62%,2019-03-09,[{'media': 'TVCI'}],BFT
all,Bruit,0.40194444444444444,,H,24 minutes,2%,2019-03-10,[{'media': 'TVCI'}],BFT
all,Silence,0.5308333333333334,,H,31 minutes,3%,2019-03-10,[{'media': 'TVCI'}],BFT
all,Musique,1.8219444444444444,,H,1 heure 49 minutes,10%,2019-03-10,[{'media': 'TVCI'}],BFT
all,Femme,5.8375,,H,5 heures 50 minutes,32%,2019-03-10,[{'media': 'TVCI'}],BFT
all,Homme,9.411944444444444,,H,9 heures 24 minutes,52%,2019-03-10,[{'media': 'TVCI'}],BFT
all,Bruit,0.3227777777777778,,H,19 minutes,2%,2019-03-11,[{'media': 'TVCI'}],BFT
all,Silence,0.5552777777777778,,H,33 minutes,3%,2019-03-11,[{'media': 'TVCI'}],BFT
