entity,type,value,valueOnHours,unit,legend,percent,date,chartDatasRow,channel
all,Bruit,0.28305555555555556,,H,16 minutes,2%,2020-02-01,[{'media': 'TVCI'}],BFT
all,Silence,0.5127777777777778,,H,30 minutes,3%,2020-02-01,[{'media': 'TVCI'}],BFT
all,Musique,2.3402777777777777,,H,2 heures 20 minutes,13%,2020-02-01,[{'media': 'TVCI'}],BFT
all,Femme,5.783611111111111,,H,5 heures 47 minutes,32%,2020-02-01,[{'media': 'TVCI'}],BFT
all,Homme,9.084444444444445,,H,9 heures 5 minutes,50%,2020-02-01,[{'media': 'TVCI'}],BFT
all,Bruit,0.15805555555555556,,H,9 minutes,1%,2020-02-02,[{'media': 'TVCI'}],BFT
all,Silence,0.4638888888888889,,H,27 minutes,3%,2020-02-02,[{'media': 'TVCI'}],BFT
all,Musique,1.8269444444444445,,H,1 heure 49 minutes,10%,2020-02-02,[{'media': 'TVCI'}],BFT
all,Femme,7.302777777777778,,H,7 heures 18 minutes,41%,2020-02-02,[{'media': 'TVCI'}],BFT
all,Homme,8.252222222222223,,H,8 heures 15 minutes,46%,2020-02-02,[{'media': 'TVCI'}],BFT
all,Bruit,0.24027777777777778,,H,14 minutes,1%,2020-02-03,[{'media': 'TVCI'}],BFT
all,Silence,0.4688888888888889,,H,28 minutes,3%,2020-02-03,[{'media': 'TVCI'}],BFT
all,Musique,1.8702777777777777,,H,1 heure 52 minutes,10%,2020-02-03,[{'media': 'TVCI'}],BFT
all,Femme,5.289722222222222,,H,5 heures 17 minutes,29%,2020-02-03,[{'media': 'TVCI'}],BFT
all,Homme,10.134722222222223,,H,10 heures 8 minutes,56%,2020-02-03,[{'media': 'TVCI'}],BFT
all,Bruit,0.1613888888888889,,H,9 minutes,1%,2020-02-04,[{'media': 'TVCI'}],BFT
all,Silence,0.4716666666666667,,H,28 minutes,3%,2020-02-04,[{'media': 'TVCI'}],BFT
all,Musique,1.8077777777777777,,H,1 heure 48 minutes,10%,2020-02-04,[{'media': 'TVCI'}],BFT
all,Femme,6.4475,,H,6 heures 26 minutes,36%,2020-02-04,[{'media': 'TVCI'}],BFT
all,Homme,9.115833333333333,,H,9 heures 6 minutes,51%,2020-02-04,[{'media': 'TVCI'}],BFT
all,Bruit,0.16527777777777777,,H,9 minutes,1%,2020-02-05,[{'media': 'TVCI'}],BFT
all,Silence,0.4263888888888889,,H,25 minutes,2%,2020-02-05,[{'media': 'TVCI'}],BFT
all,Musique,1.6247222222222222,,H,1 heure 37 minutes,9%,2020-02-05,[{'media': 'TVCI'}],BFT
all,Femme,6.321944444444444,,H,6 heures 19 minutes,35%,2020-02-05,[{'media': 'TVCI'}],BFT
all,Homme,9.465555555555556,,H,9 heures 27 minutes,53%,2020-02-05,[{'media': 'TVCI'}],BFT
all,Bruit,0.19583333333333333,,H,11 minutes,1%,2020-02-06,[{'media': 'TVCI'}],BFT
all,Silence,0.4811111111111111,,H,28 minutes,3%,2020-02-06,[{'media': 'TVCI'}],BFT
all,Musique,1.8797222222222223,,H,1 heure 52 minutes,10%,2020-02-06,[{'media': 'TVCI'}],BFT
all,Femme,5.975555555555555,,H,5 heures 58 minutes,33%,2020-02-06,[{'media': 'TVCI'}],BFT
all,Homme,9.471944444444444,,H,9 heures 28 minutes,53%,2020-02-06,[{'media': 'TVCI'}],BFT
all,Bruit,0.23027777777777778,,H,13 minutes,1%,2020-02-07,[{'media': 'TVCI'}],BFT
all,Silence,0.5175,,H,31 minutes,3%,2020-02-07,[{'media': 'TVCI'}],BFT
all,Musique,2.038611111111111,,H,2 heures 2 minutes,11%,2020-02-07,[{'media': 'TVCI'}],BFT
all,Femme,5.653611111111111,,H,5 heures 39 minutes,31%,2020-02-07,[{'media': 'TVCI'}],BFT
all,Homme,9.563888888888888,,H,9 heures 33 minutes,53%,2020-02-07,[{'media': 'TVCI'}],BFT
all,Bruit,0.2775,,H,16 minutes,2%,2020-02-08,[{'media': 'TVCI'}],BFT
all,Silence,0.48638888888888887,,H,29 minutes,3%,2020-02-08,[{'media': 'TVCI'}],BFT
all,Musique,2.188888888888889,,H,2 heures 11 minutes,12%,2020-02-08,[{'media': 'TVCI'}],BFT
all,Femme,5.923333333333333,,H,5 heures 55 minutes,33%,2020-02-08,[{'media': 'TVCI'}],BFT
all,Homme,9.127222222222223,,H,9 heures 7 minutes,51%,2020-02-08,[{'media': 'TVCI'}],BFT
all,Bruit,0.36777777777777776,,H,22 minutes,2%,2020-02-09,[{'media': 'TVCI'}],BFT
all,Silence,0.5263888888888889,,H,31 minutes,3%,2020-02-09,[{'media': 'TVCI'}],BFT
all,Musique,2.1125,,H,2 heures 6 minutes,12%,2020-02-09,[{'media': 'TVCI'}],BFT
all,Femme,6.284722222222222,,H,6 heures 17 minutes,35%,2020-02-09,[{'media': 'TVCI'}],BFT
all,Homme,8.7125,,H,8 heures 42 minutes,48%,2020-02-09,[{'media': 'TVCI'}],BFT
all,Bruit,0.22027777777777777,,H,13 minutes,1%,2020-02-10,[{'media': 'TVCI'}],BFT
all,Silence,0.42583333333333334,,H,25 minutes,2%,2020-02-10,[{'media': 'TVCI'}],BFT
all,Musique,1.7116666666666667,,H,1 heure 42 minutes,10%,2020-02-10,[{'media': 'TVCI'}],BFT
all,Femme,5.019166666666667,,H,5 heures 1 minute,28%,2020-02-10,[{'media': 'TVCI'}],BFT
all,Homme,10.626944444444444,,H,10 heures 37 minutes,59%,2020-02-10,[{'media': 'TVCI'}],BFT
all,Bruit,0.21611111111111111,,H,12 minutes,1%,2020-02-11,[{'media': 'TVCI'}],BFT
all,Silence,0.5177777777777778,,H,31 minutes,3%,2020-02-11,[{'media': 'TVCI'}],BFT
all,Musique,1.77,,H,1 heure 46 minutes,10%,2020-02-11,[{'media': 'TVCI'}],BFT
all,Femme,5.3677777777777775,,H,5 heures 22 minutes,30%,2020-02-11,[{'media': 'TVCI'}],BFT
all,Homme,10.132222222222222,,H,10 heures 7 minutes,56%,2020-02-11,[{'media': 'TVCI'}],BFT
all,Bruit,0.1963888888888889,,H,11 minutes,1%,2020-02-12,[{'media': 'TVCI'}],BFT
all,Silence,0.4452777777777778,,H,26 minutes,2%,2020-02-12,[{'media': 'TVCI'}],BFT
all,Musique,1.5441666666666667,,H,1 heure 32 minutes,9%,2020-02-12,[{'media': 'TVCI'}],BFT
all,Femme,6.635833333333333,,H,6 heures 38 minutes,37%,2020-02-12,[{'media': 'TVCI'}],BFT
all,Homme,9.182222222222222,,H,9 heures 10 minutes,51%,2020-02-12,[{'media': 'TVCI'}],BFT
all,Bruit,0.24333333333333335,,H,14 minutes,1%,2020-02-13,[{'media': 'TVCI'}],BFT
all,Silence,0.48694444444444446,,H,29 minutes,3%,2020-02-13,[{'media': 'TVCI'}],BFT
all,Musique,1.758888888888889,,H,1 heure 45 minutes,10%,2020-02-13,[{'media': 'TVCI'}],BFT
all,Femme,4.738888888888889,,H,4 heures 44 minutes,26%,2020-02-13,[{'media': 'TVCI'}],BFT
all,Homme,10.776388888888889,,H,10 heures 46 minutes,60%,2020-02-13,[{'media': 'TVCI'}],BFT
all,Bruit,0.16777777777777778,,H,10 minutes,1%,2020-02-14,[{'media': 'TVCI'}],BFT
all,Silence,0.6919444444444445,,H,41 minutes,4%,2020-02-14,[{'media': 'TVCI'}],BFT
all,Musique,1.2877777777777777,,H,1 heure 17 minutes,7%,2020-02-14,[{'media': 'TVCI'}],BFT
all,Femme,5.685555555555555,,H,5 heures 41 minutes,32%,2020-02-14,[{'media': 'TVCI'}],BFT
all,Homme,10.170833333333333,,H,10 heures 10 minutes,56%,2020-02-14,[{'media': 'TVCI'}],BFT
all,Bruit,0.25722222222222224,,H,15 minutes,1%,2020-02-15,[{'media': 'TVCI'}],BFT
all,Silence,0.53,,H,31 minutes,3%,2020-02-15,[{'media': 'TVCI'}],BFT
all,Musique,1.9997222222222222,,H,1 heure 59 minutes,11%,2020-02-15,[{'media': 'TVCI'}],BFT
all,Femme,5.7475,,H,5 heures 44 minutes,32%,2020-02-15,[{'media': 'TVCI'}],BFT
all,Homme,9.469444444444445,,H,9 heures 28 minutes,53%,2020-02-15,[{'media': 'TVCI'}],BFT
all,Bruit,0.2775,,H,16 minutes,2%,2020-02-16,[{'media': 'TVCI'}],BFT
all,Silence,0.4444444444444444,,H,26 minutes,2%,2020-02-16,[{'media': 'TVCI'}],BFT
all,Musique,1.8597222222222223,,H,1 heure 51 minutes,10%,2020-02-16,[{'media': 'TVCI'}],BFT
all,Femme,5.939444444444445,,H,5 heures 56 minutes,33%,2020-02-16,[{'media': 'TVCI'}],BFT
all,Homme,9.483333333333333,,H,9 heures 29 minutes,53%,2020-02-16,[{'media': 'TVCI'}],BFT
all,Bruit,0.21138888888888888,,H,12 minutes,1%,2020-02-17,[{'media': 'TVCI'}],BFT
all,Silence,0.4225,,H,25 minutes,2%,2020-02-17,[{'media': 'TVCI'}],BFT
all,Musique,1.3952777777777778,,H,1 heure 23 minutes,8%,2020-02-17,[{'media': 'TVCI'}],BFT
all,Femme,5.76,,H,5 heures 45 minutes,32%,2020-02-17,[{'media': 'TVCI'}],BFT
all,Homme,10.215,,H,10 heures 12 minutes,57%,2020-02-17,[{'media': 'TVCI'}],BFT
all,Bruit,0.1688888888888889,,H,10 minutes,1%,2020-02-18,[{'media': 'TVCI'}],BFT
all,Silence,0.49972222222222223,,H,29 minutes,3%,2020-02-18,[{'media': 'TVCI'}],BFT
all,Musique,1.2216666666666667,,H,1 heure 13 minutes,7%,2020-02-18,[{'media': 'TVCI'}],BFT
