entity,type,value,valueOnHours,unit,legend,percent,date,chartDatasRow,channel
all,Bruit,0.2727777777777778,,H,16 minutes,2%,2015-10-01,[{'media': 'TVCI'}],BFT
all,Silence,0.5338888888888889,,H,32 minutes,3%,2015-10-01,[{'media': 'TVCI'}],BFT
all,Musique,1.3133333333333332,,H,1 heure 18 minutes,7%,2015-10-01,[{'media': 'TVCI'}],BFT
all,Femme,5.338888888888889,,H,5 heures 20 minutes,30%,2015-10-01,[{'media': 'TVCI'}],BFT
all,Homme,10.540555555555555,,H,10 heures 32 minutes,59%,2015-10-01,[{'media': 'TVCI'}],BFT
all,Bruit,0.23333333333333334,,H,14 minutes,1%,2015-10-02,[{'media': 'TVCI'}],BFT
all,Silence,0.6311111111111111,,H,37 minutes,4%,2015-10-02,[{'media': 'TVCI'}],BFT
all,Musique,1.4119444444444444,,H,1 heure 24 minutes,8%,2015-10-02,[{'media': 'TVCI'}],BFT
all,Femme,5.155277777777778,,H,5 heures 9 minutes,29%,2015-10-02,[{'media': 'TVCI'}],BFT
all,Homme,10.567777777777778,,H,10 heures 34 minutes,59%,2015-10-02,[{'media': 'TVCI'}],BFT
all,Bruit,0.27194444444444443,,H,16 minutes,2%,2015-10-03,[{'media': 'TVCI'}],BFT
all,Silence,0.6116666666666667,,H,36 minutes,3%,2015-10-03,[{'media': 'TVCI'}],BFT
all,Musique,1.6702777777777778,,H,1 heure 40 minutes,9%,2015-10-03,[{'media': 'TVCI'}],BFT
all,Femme,4.707222222222223,,H,4 heures 42 minutes,26%,2015-10-03,[{'media': 'TVCI'}],BFT
all,Homme,10.738333333333333,,H,10 heures 44 minutes,60%,2015-10-03,[{'media': 'TVCI'}],BFT
all,Bruit,0.18388888888888888,,H,11 minutes,1%,2015-10-04,[{'media': 'TVCI'}],BFT
all,Silence,0.5052777777777778,,H,30 minutes,3%,2015-10-04,[{'media': 'TVCI'}],BFT
all,Musique,0.9358333333333333,,H,56 minutes,5%,2015-10-04,[{'media': 'TVCI'}],BFT
all,Femme,4.833333333333333,,H,4 heures 50 minutes,27%,2015-10-04,[{'media': 'TVCI'}],BFT
all,Homme,11.54111111111111,,H,11 heures 32 minutes,64%,2015-10-04,[{'media': 'TVCI'}],BFT
all,Bruit,0.21694444444444444,,H,13 minutes,1%,2015-10-05,[{'media': 'TVCI'}],BFT
all,Silence,0.5716666666666667,,H,34 minutes,3%,2015-10-05,[{'media': 'TVCI'}],BFT
all,Musique,1.4227777777777777,,H,1 heure 25 minutes,8%,2015-10-05,[{'media': 'TVCI'}],BFT
all,Femme,4.905833333333334,,H,4 heures 54 minutes,27%,2015-10-05,[{'media': 'TVCI'}],BFT
all,Homme,10.881944444444445,,H,10 heures 52 minutes,60%,2015-10-05,[{'media': 'TVCI'}],BFT
all,Bruit,0.22722222222222221,,H,13 minutes,1%,2015-10-06,[{'media': 'TVCI'}],BFT
all,Silence,0.6005555555555555,,H,36 minutes,3%,2015-10-06,[{'media': 'TVCI'}],BFT
all,Musique,1.4405555555555556,,H,1 heure 26 minutes,8%,2015-10-06,[{'media': 'TVCI'}],BFT
all,Femme,4.956111111111111,,H,4 heures 57 minutes,28%,2015-10-06,[{'media': 'TVCI'}],BFT
all,Homme,10.774722222222222,,H,10 heures 46 minutes,60%,2015-10-06,[{'media': 'TVCI'}],BFT
all,Bruit,0.25666666666666665,,H,15 minutes,1%,2015-10-07,[{'media': 'TVCI'}],BFT
all,Silence,0.5513888888888889,,H,33 minutes,3%,2015-10-07,[{'media': 'TVCI'}],BFT
all,Musique,1.5183333333333333,,H,1 heure 31 minutes,8%,2015-10-07,[{'media': 'TVCI'}],BFT
all,Femme,5.803333333333334,,H,5 heures 48 minutes,32%,2015-10-07,[{'media': 'TVCI'}],BFT
all,Homme,9.869444444444444,,H,9 heures 52 minutes,55%,2015-10-07,[{'media': 'TVCI'}],BFT
all,Bruit,0.2388888888888889,,H,14 minutes,1%,2015-10-08,[{'media': 'TVCI'}],BFT
all,Silence,0.5830555555555555,,H,34 minutes,3%,2015-10-08,[{'media': 'TVCI'}],BFT
