entity,type,value,valueOnHours,unit,legend,percent,date,chartDatasRow,channel
all,Bruit,0.3827777777777778,,H,22 minutes,2%,2015-01-01,[{'media': 'TVCI'}],BFT
all,Silence,0.6163888888888889,,H,36 minutes,3%,2015-01-01,[{'media': 'TVCI'}],BFT
all,Musique,1.218611111111111,,H,1 heure 13 minutes,7%,2015-01-01,[{'media': 'TVCI'}],BFT
all,Femme,5.677777777777778,,H,5 heures 40 minutes,32%,2015-01-01,[{'media': 'TVCI'}],BFT
all,Homme,10.10388888888889,,H,10 heures 6 minutes,56%,2015-01-01,[{'media': 'TVCI'}],BFT
all,Bruit,0.22305555555555556,,H,13 minutes,1%,2015-01-02,[{'media': 'TVCI'}],BFT
all,Silence,0.5697222222222222,,H,34 minutes,3%,2015-01-02,[{'media': 'TVCI'}],BFT
all,Musique,1.0419444444444443,,H,1 heure 2 minutes,6%,2015-01-02,[{'media': 'TVCI'}],BFT
all,Femme,6.369722222222222,,H,6 heures 22 minutes,35%,2015-01-02,[{'media': 'TVCI'}],BFT
all,Homme,9.794722222222223,,H,9 heures 47 minutes,54%,2015-01-02,[{'media': 'TVCI'}],BFT
all,Bruit,0.23666666666666666,,H,14 minutes,1%,2015-01-03,[{'media': 'TVCI'}],BFT
all,Silence,0.5691666666666667,,H,34 minutes,3%,2015-01-03,[{'media': 'TVCI'}],BFT
all,Musique,1.1205555555555555,,H,1 heure 7 minutes,6%,2015-01-03,[{'media': 'TVCI'}],BFT
all,Femme,6.075555555555556,,H,6 heures 4 minutes,34%,2015-01-03,[{'media': 'TVCI'}],BFT
all,Homme,9.9975,,H,9 heures 59 minutes,56%,2015-01-03,[{'media': 'TVCI'}],BFT
all,Bruit,0.23555555555555555,,H,14 minutes,1%,2015-01-04,[{'media': 'TVCI'}],BFT
all,Silence,0.565,,H,33 minutes,3%,2015-01-04,[{'media': 'TVCI'}],BFT
all,Musique,1.2102777777777778,,H,1 heure 12 minutes,7%,2015-01-04,[{'media': 'TVCI'}],BFT
all,Femme,5.951388888888889,,H,5 heures 57 minutes,33%,2015-01-04,[{'media': 'TVCI'}],BFT
all,Homme,10.037222222222223,,H,10 heures 2 minutes,56%,2015-01-04,[{'media': 'TVCI'}],BFT
all,Bruit,0.2702777777777778,,H,16 minutes,2%,2015-01-05,[{'media': 'TVCI'}],BFT
all,Silence,0.5575,,H,33 minutes,3%,2015-01-05,[{'media': 'TVCI'}],BFT
all,Musique,1.2758333333333334,,H,1 heure 16 minutes,7%,2015-01-05,[{'media': 'TVCI'}],BFT
all,Femme,4.514722222222222,,H,4 heures 30 minutes,25%,2015-01-05,[{'media': 'TVCI'}],BFT
all,Homme,11.381388888888889,,H,11 heures 22 minutes,63%,2015-01-05,[{'media': 'TVCI'}],BFT
all,Bruit,0.24472222222222223,,H,14 minutes,1%,2015-01-06,[{'media': 'TVCI'}],BFT
all,Silence,0.5566666666666666,,H,33 minutes,3%,2015-01-06,[{'media': 'TVCI'}],BFT
all,Musique,1.3022222222222222,,H,1 heure 18 minutes,7%,2015-01-06,[{'media': 'TVCI'}],BFT
all,Femme,5.647777777777778,,H,5 heures 38 minutes,31%,2015-01-06,[{'media': 'TVCI'}],BFT
all,Homme,10.248055555555556,,H,10 heures 14 minutes,57%,2015-01-06,[{'media': 'TVCI'}],BFT
all,Bruit,0.16805555555555557,,H,10 minutes,1%,2015-01-07,[{'media': 'TVCI'}],BFT
all,Musique,0.4855555555555556,,H,29 minutes,3%,2015-01-07,[{'media': 'TVCI'}],BFT
all,Silence,0.49444444444444446,,H,29 minutes,3%,2015-01-07,[{'media': 'TVCI'}],BFT
all,Femme,4.5633333333333335,,H,4 heures 33 minutes,25%,2015-01-07,[{'media': 'TVCI'}],BFT
all,Homme,12.288055555555555,,H,12 heures 17 minutes,68%,2015-01-07,[{'media': 'TVCI'}],BFT
all,Musique,0.030555555555555555,,H,1 minute,0%,2015-01-08,[{'media': 'TVCI'}],BFT
all,Bruit,0.07472222222222222,,H,4 minutes,0%,2015-01-08,[{'media': 'TVCI'}],BFT
all,Silence,0.5277777777777778,,H,31 minutes,3%,2015-01-08,[{'media': 'TVCI'}],BFT
all,Femme,4.889444444444444,,H,4 heures 53 minutes,27%,2015-01-08,[{'media': 'TVCI'}],BFT
all,Homme,12.477222222222222,,H,12 heures 28 minutes,69%,2015-01-08,[{'media': 'TVCI'}],BFT
all,Musique,0.03638888888888889,,H,2 minutes,0%,2015-01-09,[{'media': 'TVCI'}],BFT
all,Bruit,0.0825,,H,4 minutes,0%,2015-01-09,[{'media': 'TVCI'}],BFT
all,Silence,0.5472222222222223,,H,32 minutes,3%,2015-01-09,[{'media': 'TVCI'}],BFT
all,Femme,4.720277777777778,,H,4 heures 43 minutes,26%,2015-01-09,[{'media': 'TVCI'}],BFT
all,Homme,12.613333333333333,,H,12 heures 36 minutes,70%,2015-01-09,[{'media': 'TVCI'}],BFT
all,Bruit,0.30027777777777775,,H,18 minutes,2%,2015-01-10,[{'media': 'TVCI'}],BFT
all,Silence,0.7730555555555556,,H,46 minutes,4%,2015-01-10,[{'media': 'TVCI'}],BFT
all,Musique,0.9655555555555555,,H,57 minutes,5%,2015-01-10,[{'media': 'TVCI'}],BFT
all,Femme,5.203611111111111,,H,5 heures 12 minutes,29%,2015-01-10,[{'media': 'TVCI'}],BFT
all,Homme,10.756944444444445,,H,10 heures 45 minutes,60%,2015-01-10,[{'media': 'TVCI'}],BFT
all,Bruit,0.27555555555555555,,H,16 minutes,2%,2015-01-11,[{'media': 'TVCI'}],BFT
all,Silence,0.5041666666666667,,H,30 minutes,3%,2015-01-11,[{'media': 'TVCI'}],BFT
all,Musique,0.7661111111111111,,H,45 minutes,4%,2015-01-11,[{'media': 'TVCI'}],BFT
all,Femme,6.076388888888889,,H,6 heures 4 minutes,34%,2015-01-11,[{'media': 'TVCI'}],BFT
all,Homme,10.376944444444444,,H,10 heures 22 minutes,58%,2015-01-11,[{'media': 'TVCI'}],BFT
all,Bruit,0.31305555555555553,,H,18 minutes,2%,2015-01-12,[{'media': 'TVCI'}],BFT
all,Silence,0.6508333333333334,,H,39 minutes,4%,2015-01-12,[{'media': 'TVCI'}],BFT
all,Musique,1.3711111111111112,,H,1 heure 22 minutes,8%,2015-01-12,[{'media': 'TVCI'}],BFT
all,Femme,4.316666666666666,,H,4 heures 19 minutes,24%,2015-01-12,[{'media': 'TVCI'}],BFT
all,Homme,11.3475,,H,11 heures 20 minutes,63%,2015-01-12,[{'media': 'TVCI'}],BFT
all,Bruit,0.4166666666666667,,H,25 minutes,2%,2015-01-13,[{'media': 'TVCI'}],BFT
all,Silence,1.003611111111111,,H,1 heure 0 minute,6%,2015-01-13,[{'media': 'TVCI'}],BFT
all,Musique,1.2569444444444444,,H,1 heure 15 minutes,7%,2015-01-13,[{'media': 'TVCI'}],BFT
all,Femme,4.095,,H,4 heures 5 minutes,23%,2015-01-13,[{'media': 'TVCI'}],BFT
all,Homme,11.227222222222222,,H,11 heures 13 minutes,62%,2015-01-13,[{'media': 'TVCI'}],BFT
all,Bruit,0.31916666666666665,,H,19 minutes,2%,2015-01-14,[{'media': 'TVCI'}],BFT
all,Silence,0.6558333333333334,,H,39 minutes,4%,2015-01-14,[{'media': 'TVCI'}],BFT
all,Musique,1.456388888888889,,H,1 heure 27 minutes,8%,2015-01-14,[{'media': 'TVCI'}],BFT
all,Femme,3.723888888888889,,H,3 heures 43 minutes,21%,2015-01-14,[{'media': 'TVCI'}],BFT
