entity,type,value,valueOnHours,unit,legend,percent,date,chartDatasRow,channel
all,Bruit,0.18194444444444444,,H,10 minutes,1%,2021-12-01,[{'media': 'TVCI'}],BFT
all,Silence,0.515,,H,30 minutes,3%,2021-12-01,[{'media': 'TVCI'}],BFT
all,Musique,1.7144444444444444,,H,1 heure 42 minutes,10%,2021-12-01,[{'media': 'TVCI'}],BFT
all,Femme,4.314166666666667,,H,4 heures 18 minutes,24%,2021-12-01,[{'media': 'TVCI'}],BFT
all,Homme,11.278611111111111,,H,11 heures 16 minutes,63%,2021-12-01,[{'media': 'TVCI'}],BFT
all,Bruit,0.16194444444444445,,H,9 minutes,1%,2021-12-02,[{'media': 'TVCI'}],BFT
all,Silence,0.49333333333333335,,H,29 minutes,3%,2021-12-02,[{'media': 'TVCI'}],BFT
all,Musique,1.2141666666666666,,H,1 heure 12 minutes,7%,2021-12-02,[{'media': 'TVCI'}],BFT
all,Femme,4.998333333333333,,H,4 heures 59 minutes,28%,2021-12-02,[{'media': 'TVCI'}],BFT
all,Homme,11.136388888888888,,H,11 heures 8 minutes,62%,2021-12-02,[{'media': 'TVCI'}],BFT
all,Bruit,0.20277777777777778,,H,12 minutes,1%,2021-12-03,[{'media': 'TVCI'}],BFT
all,Silence,0.5875,,H,35 minutes,3%,2021-12-03,[{'media': 'TVCI'}],BFT
all,Musique,1.9672222222222222,,H,1 heure 58 minutes,11%,2021-12-03,[{'media': 'TVCI'}],BFT
all,Femme,5.720555555555555,,H,5 heures 43 minutes,32%,2021-12-03,[{'media': 'TVCI'}],BFT
all,Homme,9.525555555555556,,H,9 heures 31 minutes,53%,2021-12-03,[{'media': 'TVCI'}],BFT
all,Bruit,0.2361111111111111,,H,14 minutes,1%,2021-12-04,[{'media': 'TVCI'}],BFT
all,Silence,0.5116666666666667,,H,30 minutes,3%,2021-12-04,[{'media': 'TVCI'}],BFT
all,Musique,1.4436111111111112,,H,1 heure 26 minutes,8%,2021-12-04,[{'media': 'TVCI'}],BFT
all,Femme,4.379722222222222,,H,4 heures 22 minutes,24%,2021-12-04,[{'media': 'TVCI'}],BFT
all,Homme,11.432777777777778,,H,11 heures 25 minutes,64%,2021-12-04,[{'media': 'TVCI'}],BFT
all,Silence,0.52,,H,31 minutes,3%,2021-12-05,[{'media': 'TVCI'}],BFT
all,Bruit,0.6727777777777778,,H,40 minutes,4%,2021-12-05,[{'media': 'TVCI'}],BFT
all,Musique,1.6225,,H,1 heure 37 minutes,9%,2021-12-05,[{'media': 'TVCI'}],BFT
all,Femme,4.097777777777778,,H,4 heures 5 minutes,23%,2021-12-05,[{'media': 'TVCI'}],BFT
all,Homme,11.091111111111111,,H,11 heures 5 minutes,62%,2021-12-05,[{'media': 'TVCI'}],BFT
all,Bruit,0.23805555555555555,,H,14 minutes,1%,2021-12-06,[{'media': 'TVCI'}],BFT
all,Silence,0.5144444444444445,,H,30 minutes,3%,2021-12-06,[{'media': 'TVCI'}],BFT
all,Musique,1.7255555555555555,,H,1 heure 43 minutes,10%,2021-12-06,[{'media': 'TVCI'}],BFT
all,Femme,5.235277777777778,,H,5 heures 14 minutes,29%,2021-12-06,[{'media': 'TVCI'}],BFT
all,Homme,10.290833333333333,,H,10 heures 17 minutes,57%,2021-12-06,[{'media': 'TVCI'}],BFT
all,Bruit,0.17833333333333334,,H,10 minutes,1%,2021-12-07,[{'media': 'TVCI'}],BFT
all,Silence,0.48833333333333334,,H,29 minutes,3%,2021-12-07,[{'media': 'TVCI'}],BFT
