entity,type,value,valueOnHours,unit,legend,percent,date,chartDatasRow,channel
all,Bruit,0.17416666666666666,,H,10 minutes,1%,2022-03-01,[{'media': 'TVCI'}],BFT
all,Musique,0.8675,,H,52 minutes,5%,2022-03-01,[{'media': 'TVCI'}],BFT
all,Femme,5.189722222222223,,H,5 heures 11 minutes,30%,2022-03-01,[{'media': 'TVCI'}],BFT
all,Homme,11.10361111111111,,H,11 heures 6 minutes,64%,2022-03-01,[{'media': 'TVCI'}],BFT
all,Bruit,0.14472222222222222,,H,8 minutes,1%,2022-03-02,[{'media': 'TVCI'}],BFT
all,Musique,0.9847222222222223,,H,59 minutes,6%,2022-03-02,[{'media': 'TVCI'}],BFT
all,Femme,4.465,,H,4 heures 27 minutes,26%,2022-03-02,[{'media': 'TVCI'}],BFT
all,Homme,11.770277777777778,,H,11 heures 46 minutes,68%,2022-03-02,[{'media': 'TVCI'}],BFT
all,Bruit,0.1622222222222222,,H,9 minutes,1%,2022-03-03,[{'media': 'TVCI'}],BFT
all,Musique,1.0227777777777778,,H,1 heure 1 minute,6%,2022-03-03,[{'media': 'TVCI'}],BFT
all,Femme,5.3244444444444445,,H,5 heures 19 minutes,30%,2022-03-03,[{'media': 'TVCI'}],BFT
all,Homme,10.977222222222222,,H,10 heures 58 minutes,63%,2022-03-03,[{'media': 'TVCI'}],BFT
all,Bruit,0.16277777777777777,,H,9 minutes,1%,2022-03-04,[{'media': 'TVCI'}],BFT
all,Musique,1.146111111111111,,H,1 heure 8 minutes,7%,2022-03-04,[{'media': 'TVCI'}],BFT
all,Femme,4.780555555555556,,H,4 heures 46 minutes,27%,2022-03-04,[{'media': 'TVCI'}],BFT
all,Homme,11.33611111111111,,H,11 heures 20 minutes,65%,2022-03-04,[{'media': 'TVCI'}],BFT
all,Bruit,0.11444444444444445,,H,6 minutes,1%,2022-03-05,[{'media': 'TVCI'}],BFT
all,Musique,1.0905555555555555,,H,1 heure 5 minutes,6%,2022-03-05,[{'media': 'TVCI'}],BFT
all,Femme,6.320833333333334,,H,6 heures 19 minutes,36%,2022-03-05,[{'media': 'TVCI'}],BFT
all,Homme,9.966111111111111,,H,9 heures 57 minutes,57%,2022-03-05,[{'media': 'TVCI'}],BFT
all,Bruit,0.2461111111111111,,H,14 minutes,1%,2022-03-06,[{'media': 'TVCI'}],BFT
