entity,type,value,valueOnHours,unit,legend,percent,date,chartDatasRow,channel
all,Bruit,0.30527777777777776,,H,18 minutes,2%,2016-07-01,[{'media': 'TVCI'}],BFT
all,Silence,0.47055555555555556,,H,28 minutes,3%,2016-07-01,[{'media': 'TVCI'}],BFT
all,Musique,1.3177777777777777,,H,1 heure 19 minutes,7%,2016-07-01,[{'media': 'TVCI'}],BFT
all,Femme,5.486666666666666,,H,5 heures 29 minutes,30%,2016-07-01,[{'media': 'TVCI'}],BFT
all,Homme,10.419166666666667,,H,10 heures 25 minutes,58%,2016-07-01,[{'media': 'TVCI'}],BFT
all,Bruit,0.3047222222222222,,H,18 minutes,2%,2016-07-02,[{'media': 'TVCI'}],BFT
all,Silence,0.54,,H,32 minutes,3%,2016-07-02,[{'media': 'TVCI'}],BFT
all,Musique,1.273611111111111,,H,1 heure 16 minutes,7%,2016-07-02,[{'media': 'TVCI'}],BFT
all,Femme,5.365,,H,5 heures 21 minutes,30%,2016-07-02,[{'media': 'TVCI'}],BFT
all,Homme,10.516111111111112,,H,10 heures 30 minutes,58%,2016-07-02,[{'media': 'TVCI'}],BFT
all,Bruit,0.28833333333333333,,H,17 minutes,2%,2016-07-03,[{'media': 'TVCI'}],BFT
all,Silence,0.5702777777777778,,H,34 minutes,3%,2016-07-03,[{'media': 'TVCI'}],BFT
all,Musique,1.4088888888888889,,H,1 heure 24 minutes,8%,2016-07-03,[{'media': 'TVCI'}],BFT
all,Femme,4.6386111111111115,,H,4 heures 38 minutes,26%,2016-07-03,[{'media': 'TVCI'}],BFT
all,Homme,11.093333333333334,,H,11 heures 5 minutes,62%,2016-07-03,[{'media': 'TVCI'}],BFT
all,Bruit,0.32416666666666666,,H,19 minutes,2%,2016-07-04,[{'media': 'TVCI'}],BFT
all,Silence,0.4666666666666667,,H,28 minutes,3%,2016-07-04,[{'media': 'TVCI'}],BFT
all,Musique,1.3933333333333333,,H,1 heure 23 minutes,8%,2016-07-04,[{'media': 'TVCI'}],BFT
all,Femme,4.700833333333334,,H,4 heures 42 minutes,26%,2016-07-04,[{'media': 'TVCI'}],BFT
all,Homme,11.114444444444445,,H,11 heures 6 minutes,62%,2016-07-04,[{'media': 'TVCI'}],BFT
all,Bruit,0.31444444444444447,,H,18 minutes,2%,2016-07-05,[{'media': 'TVCI'}],BFT
all,Silence,0.4866666666666667,,H,29 minutes,3%,2016-07-05,[{'media': 'TVCI'}],BFT
all,Musique,1.315,,H,1 heure 18 minutes,7%,2016-07-05,[{'media': 'TVCI'}],BFT
all,Femme,5.150555555555556,,H,5 heures 9 minutes,29%,2016-07-05,[{'media': 'TVCI'}],BFT
all,Homme,10.732777777777779,,H,10 heures 43 minutes,60%,2016-07-05,[{'media': 'TVCI'}],BFT
