entity,type,value,valueOnHours,unit,legend,percent,date,chartDatasRow,channel
all,Bruit,0.24444444444444444,,H,14 minutes,1%,2016-01-01,[{'media': 'TVCI'}],BFT
all,Silence,0.6516666666666666,,H,39 minutes,4%,2016-01-01,[{'media': 'TVCI'}],BFT
all,Musique,1.1997222222222221,,H,1 heure 11 minutes,7%,2016-01-01,[{'media': 'TVCI'}],BFT
all,Femme,7.073888888888889,,H,7 heures 4 minutes,39%,2016-01-01,[{'media': 'TVCI'}],BFT
all,Homme,8.825833333333334,,H,8 heures 49 minutes,49%,2016-01-01,[{'media': 'TVCI'}],BFT
all,Bruit,0.19361111111111112,,H,11 minutes,1%,2016-01-02,[{'media': 'TVCI'}],BFT
all,Silence,0.6069444444444444,,H,36 minutes,3%,2016-01-02,[{'media': 'TVCI'}],BFT
all,Musique,1.2625,,H,1 heure 15 minutes,7%,2016-01-02,[{'media': 'TVCI'}],BFT
all,Femme,6.3436111111111115,,H,6 heures 20 minutes,35%,2016-01-02,[{'media': 'TVCI'}],BFT
all,Homme,9.592777777777778,,H,9 heures 35 minutes,53%,2016-01-02,[{'media': 'TVCI'}],BFT
all,Bruit,0.20166666666666666,,H,12 minutes,1%,2016-01-03,[{'media': 'TVCI'}],BFT
all,Silence,0.5638888888888889,,H,33 minutes,3%,2016-01-03,[{'media': 'TVCI'}],BFT
all,Musique,1.9505555555555556,,H,1 heure 57 minutes,11%,2016-01-03,[{'media': 'TVCI'}],BFT
all,Femme,6.626388888888889,,H,6 heures 37 minutes,37%,2016-01-03,[{'media': 'TVCI'}],BFT
all,Homme,8.649444444444445,,H,8 heures 38 minutes,48%,2016-01-03,[{'media': 'TVCI'}],BFT
all,Bruit,0.18083333333333335,,H,10 minutes,1%,2016-01-04,[{'media': 'TVCI'}],BFT
all,Silence,0.5683333333333334,,H,34 minutes,3%,2016-01-04,[{'media': 'TVCI'}],BFT
all,Musique,1.1972222222222222,,H,1 heure 11 minutes,7%,2016-01-04,[{'media': 'TVCI'}],BFT
all,Femme,5.221111111111111,,H,5 heures 13 minutes,29%,2016-01-04,[{'media': 'TVCI'}],BFT
all,Homme,10.831944444444444,,H,10 heures 49 minutes,60%,2016-01-04,[{'media': 'TVCI'}],BFT
all,Bruit,0.1688888888888889,,H,10 minutes,1%,2016-01-05,[{'media': 'TVCI'}],BFT
all,Silence,0.5541666666666667,,H,33 minutes,3%,2016-01-05,[{'media': 'TVCI'}],BFT
all,Musique,1.0141666666666667,,H,1 heure 0 minute,6%,2016-01-05,[{'media': 'TVCI'}],BFT
all,Femme,5.740555555555556,,H,5 heures 44 minutes,32%,2016-01-05,[{'media': 'TVCI'}],BFT
all,Homme,10.517777777777777,,H,10 heures 31 minutes,58%,2016-01-05,[{'media': 'TVCI'}],BFT
all,Bruit,0.1875,,H,11 minutes,1%,2016-01-06,[{'media': 'TVCI'}],BFT
all,Silence,0.5330555555555555,,H,31 minutes,3%,2016-01-06,[{'media': 'TVCI'}],BFT
all,Musique,1.178611111111111,,H,1 heure 10 minutes,7%,2016-01-06,[{'media': 'TVCI'}],BFT
all,Femme,5.513055555555556,,H,5 heures 30 minutes,31%,2016-01-06,[{'media': 'TVCI'}],BFT
all,Homme,10.583333333333334,,H,10 heures 35 minutes,59%,2016-01-06,[{'media': 'TVCI'}],BFT
all,Bruit,0.16972222222222222,,H,10 minutes,1%,2016-01-07,[{'media': 'TVCI'}],BFT
all,Silence,0.6247222222222222,,H,37 minutes,3%,2016-01-07,[{'media': 'TVCI'}],BFT
all,Musique,1.1741666666666666,,H,1 heure 10 minutes,7%,2016-01-07,[{'media': 'TVCI'}],BFT
all,Femme,5.604444444444445,,H,5 heures 36 minutes,31%,2016-01-07,[{'media': 'TVCI'}],BFT
all,Homme,10.426388888888889,,H,10 heures 25 minutes,58%,2016-01-07,[{'media': 'TVCI'}],BFT
all,Bruit,0.2025,,H,12 minutes,1%,2016-01-08,[{'media': 'TVCI'}],BFT
all,Silence,0.5947222222222223,,H,35 minutes,3%,2016-01-08,[{'media': 'TVCI'}],BFT
all,Musique,1.3952777777777778,,H,1 heure 23 minutes,8%,2016-01-08,[{'media': 'TVCI'}],BFT
all,Femme,6.026388888888889,,H,6 heures 1 minute,33%,2016-01-08,[{'media': 'TVCI'}],BFT
all,Homme,9.780277777777778,,H,9 heures 46 minutes,54%,2016-01-08,[{'media': 'TVCI'}],BFT
all,Bruit,0.31472222222222224,,H,18 minutes,2%,2016-01-09,[{'media': 'TVCI'}],BFT
all,Silence,0.6236111111111111,,H,37 minutes,3%,2016-01-09,[{'media': 'TVCI'}],BFT
all,Musique,1.4516666666666667,,H,1 heure 27 minutes,8%,2016-01-09,[{'media': 'TVCI'}],BFT
all,Femme,6.360555555555556,,H,6 heures 21 minutes,35%,2016-01-09,[{'media': 'TVCI'}],BFT
all,Homme,9.240277777777777,,H,9 heures 14 minutes,51%,2016-01-09,[{'media': 'TVCI'}],BFT
all,Bruit,0.31027777777777776,,H,18 minutes,2%,2016-01-10,[{'media': 'TVCI'}],BFT
all,Silence,0.6072222222222222,,H,36 minutes,3%,2016-01-10,[{'media': 'TVCI'}],BFT
all,Musique,1.7258333333333333,,H,1 heure 43 minutes,10%,2016-01-10,[{'media': 'TVCI'}],BFT
all,Femme,6.581944444444445,,H,6 heures 34 minutes,37%,2016-01-10,[{'media': 'TVCI'}],BFT
all,Homme,8.772777777777778,,H,8 heures 46 minutes,49%,2016-01-10,[{'media': 'TVCI'}],BFT
all,Bruit,0.23222222222222222,,H,13 minutes,1%,2016-01-11,[{'media': 'TVCI'}],BFT
all,Silence,0.6041666666666666,,H,36 minutes,3%,2016-01-11,[{'media': 'TVCI'}],BFT
all,Musique,1.7513888888888889,,H,1 heure 45 minutes,10%,2016-01-11,[{'media': 'TVCI'}],BFT
all,Femme,4.627222222222223,,H,4 heures 37 minutes,26%,2016-01-11,[{'media': 'TVCI'}],BFT
all,Homme,10.780277777777778,,H,10 heures 46 minutes,60%,2016-01-11,[{'media': 'TVCI'}],BFT
all,Bruit,0.20333333333333334,,H,12 minutes,1%,2016-01-12,[{'media': 'TVCI'}],BFT
all,Silence,0.5241666666666667,,H,31 minutes,3%,2016-01-12,[{'media': 'TVCI'}],BFT
all,Musique,1.1822222222222223,,H,1 heure 10 minutes,7%,2016-01-12,[{'media': 'TVCI'}],BFT
all,Femme,4.533888888888889,,H,4 heures 32 minutes,25%,2016-01-12,[{'media': 'TVCI'}],BFT
all,Homme,11.555555555555555,,H,11 heures 33 minutes,64%,2016-01-12,[{'media': 'TVCI'}],BFT
all,Bruit,0.21722222222222223,,H,13 minutes,1%,2016-01-13,[{'media': 'TVCI'}],BFT
all,Silence,0.5669444444444445,,H,34 minutes,3%,2016-01-13,[{'media': 'TVCI'}],BFT
all,Musique,1.1841666666666666,,H,1 heure 11 minutes,7%,2016-01-13,[{'media': 'TVCI'}],BFT
all,Femme,4.2908333333333335,,H,4 heures 17 minutes,24%,2016-01-13,[{'media': 'TVCI'}],BFT
all,Homme,11.740277777777777,,H,11 heures 44 minutes,65%,2016-01-13,[{'media': 'TVCI'}],BFT
all,Bruit,0.21861111111111112,,H,13 minutes,1%,2016-01-14,[{'media': 'TVCI'}],BFT
all,Silence,0.6047222222222223,,H,36 minutes,3%,2016-01-14,[{'media': 'TVCI'}],BFT
all,Musique,1.2516666666666667,,H,1 heure 15 minutes,7%,2016-01-14,[{'media': 'TVCI'}],BFT
