entity,type,value,valueOnHours,unit,legend,percent,date,chartDatasRow,channel
all,Bruit,0.12361111111111112,,H,7 minutes,1%,2021-07-01,[{'media': 'TVCI'}],BFT
all,Silence,0.49833333333333335,,H,29 minutes,3%,2021-07-01,[{'media': 'TVCI'}],BFT
all,Musique,1.1802777777777778,,H,1 heure 10 minutes,7%,2021-07-01,[{'media': 'TVCI'}],BFT
all,Femme,5.221388888888889,,H,5 heures 13 minutes,29%,2021-07-01,[{'media': 'TVCI'}],BFT
all,Homme,10.980833333333333,,H,10 heures 58 minutes,61%,2021-07-01,[{'media': 'TVCI'}],BFT
all,Bruit,0.17888888888888888,,H,10 minutes,1%,2021-07-02,[{'media': 'TVCI'}],BFT
all,Silence,0.4577777777777778,,H,27 minutes,3%,2021-07-02,[{'media': 'TVCI'}],BFT
all,Musique,1.326111111111111,,H,1 heure 19 minutes,7%,2021-07-02,[{'media': 'TVCI'}],BFT
all,Femme,5.753333333333333,,H,5 heures 45 minutes,32%,2021-07-02,[{'media': 'TVCI'}],BFT
all,Homme,10.288055555555555,,H,10 heures 17 minutes,57%,2021-07-02,[{'media': 'TVCI'}],BFT
all,Bruit,0.26694444444444443,,H,16 minutes,1%,2021-07-03,[{'media': 'TVCI'}],BFT
all,Silence,0.4672222222222222,,H,28 minutes,3%,2021-07-03,[{'media': 'TVCI'}],BFT
all,Musique,1.4791666666666667,,H,1 heure 28 minutes,8%,2021-07-03,[{'media': 'TVCI'}],BFT
all,Femme,4.722777777777778,,H,4 heures 43 minutes,26%,2021-07-03,[{'media': 'TVCI'}],BFT
all,Homme,11.067777777777778,,H,11 heures 4 minutes,61%,2021-07-03,[{'media': 'TVCI'}],BFT
all,Bruit,0.25972222222222224,,H,15 minutes,1%,2021-07-04,[{'media': 'TVCI'}],BFT
all,Silence,0.5936111111111111,,H,35 minutes,3%,2021-07-04,[{'media': 'TVCI'}],BFT
all,Musique,1.2763888888888888,,H,1 heure 16 minutes,7%,2021-07-04,[{'media': 'TVCI'}],BFT
all,Femme,4.718333333333334,,H,4 heures 43 minutes,26%,2021-07-04,[{'media': 'TVCI'}],BFT
all,Homme,11.155833333333334,,H,11 heures 9 minutes,62%,2021-07-04,[{'media': 'TVCI'}],BFT
all,Bruit,0.15861111111111112,,H,9 minutes,1%,2021-07-05,[{'media': 'TVCI'}],BFT
