entity,type,value,valueOnHours,unit,legend,percent,date,chartDatasRow,channel
all,Bruit,0.09833333333333333,,H,5 minutes,1%,2024-02-01,[{'media': 'TVCI'}],BFT
all,Silence,0.5166666666666667,,H,31 minutes,3%,2024-02-01,[{'media': 'TVCI'}],BFT
all,Musique,0.8261111111111111,,H,49 minutes,5%,2024-02-01,[{'media': 'TVCI'}],BFT
all,Femme,6.027777777777778,,H,6 heures 1 minute,33%,2024-02-01,[{'media': 'TVCI'}],BFT
all,Homme,10.535277777777777,,H,10 heures 32 minutes,59%,2024-02-01,[{'media': 'TVCI'}],BFT
all,Bruit,0.19805555555555557,,H,11 minutes,1%,2024-02-02,[{'media': 'TVCI'}],BFT
all,Silence,0.5297222222222222,,H,31 minutes,3%,2024-02-02,[{'media': 'TVCI'}],BFT
all,Musique,1.2805555555555554,,H,1 heure 16 minutes,7%,2024-02-02,[{'media': 'TVCI'}],BFT
all,Femme,6.040555555555556,,H,6 heures 2 minutes,34%,2024-02-02,[{'media': 'TVCI'}],BFT
all,Homme,9.9475,,H,9 heures 56 minutes,55%,2024-02-02,[{'media': 'TVCI'}],BFT
all,Bruit,0.13277777777777777,,H,7 minutes,1%,2024-02-03,[{'media': 'TVCI'}],BFT
all,Silence,0.5447222222222222,,H,32 minutes,3%,2024-02-03,[{'media': 'TVCI'}],BFT
all,Musique,1.1263888888888889,,H,1 heure 7 minutes,6%,2024-02-03,[{'media': 'TVCI'}],BFT
all,Femme,5.253055555555555,,H,5 heures 15 minutes,29%,2024-02-03,[{'media': 'TVCI'}],BFT
all,Homme,10.947222222222223,,H,10 heures 56 minutes,61%,2024-02-03,[{'media': 'TVCI'}],BFT
all,Bruit,0.1986111111111111,,H,11 minutes,1%,2024-02-04,[{'media': 'TVCI'}],BFT
all,Silence,0.5936111111111111,,H,35 minutes,3%,2024-02-04,[{'media': 'TVCI'}],BFT
all,Musique,1.41,,H,1 heure 24 minutes,8%,2024-02-04,[{'media': 'TVCI'}],BFT
all,Femme,4.796666666666667,,H,4 heures 47 minutes,27%,2024-02-04,[{'media': 'TVCI'}],BFT
all,Homme,11.005277777777778,,H,11 heures 0 minute,61%,2024-02-04,[{'media': 'TVCI'}],BFT
all,Bruit,0.1922222222222222,,H,11 minutes,1%,2024-02-05,[{'media': 'TVCI'}],BFT
all,Silence,0.48777777777777775,,H,29 minutes,3%,2024-02-05,[{'media': 'TVCI'}],BFT
all,Musique,1.2622222222222221,,H,1 heure 15 minutes,7%,2024-02-05,[{'media': 'TVCI'}],BFT
all,Femme,6.604722222222223,,H,6 heures 36 minutes,37%,2024-02-05,[{'media': 'TVCI'}],BFT
