entity,type,value,valueOnHours,unit,legend,percent,date,chartDatasRow,channel
all,Bruit,0.2436111111111111,,H,14 minutes,1%,2024-11-01,[{'media': 'TVCI'}],BFT
all,Silence,0.46416666666666667,,H,27 minutes,3%,2024-11-01,[{'media': 'TVCI'}],BFT
all,Musique,0.8805555555555555,,H,52 minutes,5%,2024-11-01,[{'media': 'TVCI'}],BFT
all,Femme,6.512222222222222,,H,6 heures 30 minutes,36%,2024-11-01,[{'media': 'TVCI'}],BFT
all,Homme,9.89861111111111,,H,9 heures 53 minutes,55%,2024-11-01,[{'media': 'TVCI'}],BFT
all,Bruit,0.23583333333333334,,H,14 minutes,1%,2024-11-02,[{'media': 'TVCI'}],BFT
all,Silence,0.5775,,H,34 minutes,3%,2024-11-02,[{'media': 'TVCI'}],BFT
all,Musique,0.9077777777777778,,H,54 minutes,5%,2024-11-02,[{'media': 'TVCI'}],BFT
all,Femme,5.624722222222222,,H,5 heures 37 minutes,31%,2024-11-02,[{'media': 'TVCI'}],BFT
all,Homme,10.653611111111111,,H,10 heures 39 minutes,59%,2024-11-02,[{'media': 'TVCI'}],BFT
all,Bruit,0.2575,,H,15 minutes,1%,2024-11-03,[{'media': 'TVCI'}],BFT
all,Silence,0.5108333333333334,,H,30 minutes,3%,2024-11-03,[{'media': 'TVCI'}],BFT
all,Musique,0.9872222222222222,,H,59 minutes,5%,2024-11-03,[{'media': 'TVCI'}],BFT
all,Femme,5.563055555555556,,H,5 heures 33 minutes,31%,2024-11-03,[{'media': 'TVCI'}],BFT
all,Homme,10.680833333333334,,H,10 heures 40 minutes,59%,2024-11-03,[{'media': 'TVCI'}],BFT
all,Bruit,0.2775,,H,16 minutes,2%,2024-11-04,[{'media': 'TVCI'}],BFT
all,Silence,0.5144444444444445,,H,30 minutes,3%,2024-11-04,[{'media': 'TVCI'}],BFT
all,Musique,0.9663888888888889,,H,57 minutes,5%,2024-11-04,[{'media': 'TVCI'}],BFT
all,Femme,6.055555555555555,,H,6 heures 3 minutes,34%,2024-11-04,[{'media': 'TVCI'}],BFT
all,Homme,10.185555555555556,,H,10 heures 11 minutes,57%,2024-11-04,[{'media': 'TVCI'}],BFT
all,Bruit,0.16944444444444445,,H,10 minutes,1%,2024-11-05,[{'media': 'TVCI'}],BFT
all,Silence,0.4280555555555556,,H,25 minutes,2%,2024-11-05,[{'media': 'TVCI'}],BFT
all,Musique,0.7030555555555555,,H,42 minutes,4%,2024-11-05,[{'media': 'TVCI'}],BFT
all,Femme,5.3875,,H,5 heures 23 minutes,30%,2024-11-05,[{'media': 'TVCI'}],BFT
all,Homme,11.311388888888889,,H,11 heures 18 minutes,63%,2024-11-05,[{'media': 'TVCI'}],BFT
all,Bruit,0.1811111111111111,,H,10 minutes,1%,2024-11-06,[{'media': 'TVCI'}],BFT
all,Musique,0.3838888888888889,,H,23 minutes,2%,2024-11-06,[{'media': 'TVCI'}],BFT
all,Silence,0.4488888888888889,,H,26 minutes,2%,2024-11-06,[{'media': 'TVCI'}],BFT
all,Femme,3.9491666666666667,,H,3 heures 56 minutes,22%,2024-11-06,[{'media': 'TVCI'}],BFT
all,Homme,13.036111111111111,,H,13 heures 2 minutes,72%,2024-11-06,[{'media': 'TVCI'}],BFT
all,Bruit,0.1511111111111111,,H,9 minutes,1%,2024-11-07,[{'media': 'TVCI'}],BFT
all,Silence,0.49194444444444446,,H,29 minutes,3%,2024-11-07,[{'media': 'TVCI'}],BFT
all,Musique,0.8413888888888889,,H,50 minutes,5%,2024-11-07,[{'media': 'TVCI'}],BFT
all,Femme,4.991944444444444,,H,4 heures 59 minutes,28%,2024-11-07,[{'media': 'TVCI'}],BFT
all,Homme,11.523055555555555,,H,11 heures 31 minutes,64%,2024-11-07,[{'media': 'TVCI'}],BFT
all,Bruit,0.035555555555555556,,H,2 minutes,1%,2024-11-08,[{'media': 'TVCI'}],BFT
all,Silence,0.15222222222222223,,H,9 minutes,3%,2024-11-08,[{'media': 'TVCI'}],BFT
all,Musique,0.1986111111111111,,H,11 minutes,4%,2024-11-08,[{'media': 'TVCI'}],BFT
all,Femme,1.3427777777777778,,H,1 heure 20 minutes,27%,2024-11-08,[{'media': 'TVCI'}],BFT
all,Homme,3.27,,H,3 heures 16 minutes,65%,2024-11-08,[{'media': 'TVCI'}],BFT
all,Bruit,0.1338888888888889,,H,8 minutes,1%,2024-11-09,[{'media': 'TVCI'}],BFT
all,Silence,0.4677777777777778,,H,28 minutes,3%,2024-11-09,[{'media': 'TVCI'}],BFT
all,Musique,1.0225,,H,1 heure 1 minute,6%,2024-11-09,[{'media': 'TVCI'}],BFT
all,Femme,5.322222222222222,,H,5 heures 19 minutes,30%,2024-11-09,[{'media': 'TVCI'}],BFT
all,Homme,11.053055555555556,,H,11 heures 3 minutes,61%,2024-11-09,[{'media': 'TVCI'}],BFT
all,Bruit,0.17555555555555555,,H,10 minutes,1%,2024-11-10,[{'media': 'TVCI'}],BFT
all,Silence,0.48,,H,28 minutes,3%,2024-11-10,[{'media': 'TVCI'}],BFT
all,Musique,1.1211111111111112,,H,1 heure 7 minutes,6%,2024-11-10,[{'media': 'TVCI'}],BFT
all,Femme,4.581666666666667,,H,4 heures 34 minutes,25%,2024-11-10,[{'media': 'TVCI'}],BFT
all,Homme,11.641111111111112,,H,11 heures 38 minutes,65%,2024-11-10,[{'media': 'TVCI'}],BFT
all,Bruit,0.2025,,H,12 minutes,1%,2024-11-11,[{'media': 'TVCI'}],BFT
all,Silence,0.47694444444444445,,H,28 minutes,3%,2024-11-11,[{'media': 'TVCI'}],BFT
all,Musique,0.9816666666666667,,H,58 minutes,5%,2024-11-11,[{'media': 'TVCI'}],BFT
all,Femme,4.321111111111111,,H,4 heures 19 minutes,24%,2024-11-11,[{'media': 'TVCI'}],BFT
all,Homme,12.016944444444444,,H,12 heures 1 minute,67%,2024-11-11,[{'media': 'TVCI'}],BFT
all,Bruit,0.1386111111111111,,H,8 minutes,1%,2024-11-12,[{'media': 'TVCI'}],BFT
all,Silence,0.48055555555555557,,H,28 minutes,3%,2024-11-12,[{'media': 'TVCI'}],BFT
all,Musique,0.8308333333333333,,H,49 minutes,5%,2024-11-12,[{'media': 'TVCI'}],BFT
