entity,type,value,valueOnHours,unit,legend,percent,date,chartDatasRow,channel
all,Bruit,0.3425,,H,20 minutes,2%,2023-12-01,[{'media': 'TVCI'}],BFT
all,Silence,0.5944444444444444,,H,35 minutes,3%,2023-12-01,[{'media': 'TVCI'}],BFT
all,Musique,1.1641666666666666,,H,1 heure 9 minutes,6%,2023-12-01,[{'media': 'TVCI'}],BFT
all,Femme,6.191111111111111,,H,6 heures 11 minutes,34%,2023-12-01,[{'media': 'TVCI'}],BFT
all,Homme,9.711944444444445,,H,9 heures 42 minutes,54%,2023-12-01,[{'media': 'TVCI'}],BFT
all,Bruit,0.2561111111111111,,H,15 minutes,1%,2023-12-02,[{'media': 'TVCI'}],BFT
all,Silence,0.5847222222222223,,H,35 minutes,3%,2023-12-02,[{'media': 'TVCI'}],BFT
all,Musique,1.49,,H,1 heure 29 minutes,8%,2023-12-02,[{'media': 'TVCI'}],BFT
all,Femme,4.385277777777778,,H,4 heures 23 minutes,24%,2023-12-02,[{'media': 'TVCI'}],BFT
all,Homme,11.288055555555555,,H,11 heures 17 minutes,63%,2023-12-02,[{'media': 'TVCI'}],BFT
all,Bruit,0.10611111111111111,,H,6 minutes,1%,2023-12-03,[{'media': 'TVCI'}],BFT
all,Silence,0.5916666666666667,,H,35 minutes,3%,2023-12-03,[{'media': 'TVCI'}],BFT
all,Musique,0.8722222222222222,,H,52 minutes,5%,2023-12-03,[{'media': 'TVCI'}],BFT
all,Femme,4.078611111111111,,H,4 heures 4 minutes,23%,2023-12-03,[{'media': 'TVCI'}],BFT
all,Homme,12.355555555555556,,H,12 heures 21 minutes,69%,2023-12-03,[{'media': 'TVCI'}],BFT
all,Bruit,0.1075,,H,6 minutes,1%,2023-12-04,[{'media': 'TVCI'}],BFT
all,Silence,0.5394444444444444,,H,32 minutes,3%,2023-12-04,[{'media': 'TVCI'}],BFT
all,Musique,1.0019444444444445,,H,1 heure 0 minute,6%,2023-12-04,[{'media': 'TVCI'}],BFT
all,Femme,4.996111111111111,,H,4 heures 59 minutes,28%,2023-12-04,[{'media': 'TVCI'}],BFT
all,Homme,11.359166666666667,,H,11 heures 21 minutes,63%,2023-12-04,[{'media': 'TVCI'}],BFT
all,Bruit,0.21666666666666667,,H,13 minutes,1%,2023-12-05,[{'media': 'TVCI'}],BFT
all,Silence,1.065,,H,1 heure 3 minutes,3%,2023-12-05,[{'media': 'TVCI'}],BFT
all,Musique,1.8708333333333333,,H,1 heure 52 minutes,5%,2023-12-05,[{'media': 'TVCI'}],BFT
all,Femme,11.849722222222223,,H,11 heures 50 minutes,34%,2023-12-05,[{'media': 'TVCI'}],BFT
all,Homme,20.006666666666668,,H,20 heures 0 minute,57%,2023-12-05,[{'media': 'TVCI'}],BFT
all,Bruit,0.16,,H,9 minutes,1%,2023-12-06,[{'media': 'TVCI'}],BFT
