entity,type,value,valueOnHours,unit,legend,percent,date,chartDatasRow,channel
all,Bruit,0.3163888888888889,,H,18 minutes,2%,2019-11-01,[{'media': 'TVCI'}],BFT
all,Silence,0.5141666666666667,,H,30 minutes,3%,2019-11-01,[{'media': 'TVCI'}],BFT
all,Musique,1.9947222222222223,,H,1 heure 59 minutes,11%,2019-11-01,[{'media': 'TVCI'}],BFT
all,Femme,5.512777777777778,,H,5 heures 30 minutes,31%,2019-11-01,[{'media': 'TVCI'}],BFT
all,Homme,9.66611111111111,,H,9 heures 39 minutes,54%,2019-11-01,[{'media': 'TVCI'}],BFT
all,Bruit,0.3080555555555556,,H,18 minutes,2%,2019-11-02,[{'media': 'TVCI'}],BFT
all,Silence,0.5583333333333333,,H,33 minutes,3%,2019-11-02,[{'media': 'TVCI'}],BFT
all,Musique,2.1172222222222223,,H,2 heures 7 minutes,12%,2019-11-02,[{'media': 'TVCI'}],BFT
all,Femme,5.217777777777778,,H,5 heures 13 minutes,29%,2019-11-02,[{'media': 'TVCI'}],BFT
all,Homme,9.8025,,H,9 heures 48 minutes,54%,2019-11-02,[{'media': 'TVCI'}],BFT
all,Bruit,0.27694444444444444,,H,16 minutes,2%,2019-11-03,[{'media': 'TVCI'}],BFT
all,Silence,0.5197222222222222,,H,31 minutes,3%,2019-11-03,[{'media': 'TVCI'}],BFT
all,Musique,1.9361111111111111,,H,1 heure 56 minutes,11%,2019-11-03,[{'media': 'TVCI'}],BFT
all,Femme,6.592777777777778,,H,6 heures 35 minutes,37%,2019-11-03,[{'media': 'TVCI'}],BFT
all,Homme,8.678333333333333,,H,8 heures 40 minutes,48%,2019-11-03,[{'media': 'TVCI'}],BFT
all,Bruit,0.30972222222222223,,H,18 minutes,2%,2019-11-04,[{'media': 'TVCI'}],BFT
all,Silence,0.4375,,H,26 minutes,2%,2019-11-04,[{'media': 'TVCI'}],BFT
all,Musique,2.0213888888888887,,H,2 heures 1 minute,11%,2019-11-04,[{'media': 'TVCI'}],BFT
all,Femme,5.286944444444444,,H,5 heures 17 minutes,29%,2019-11-04,[{'media': 'TVCI'}],BFT
all,Homme,9.948333333333334,,H,9 heures 56 minutes,55%,2019-11-04,[{'media': 'TVCI'}],BFT
all,Bruit,0.28055555555555556,,H,16 minutes,2%,2019-11-05,[{'media': 'TVCI'}],BFT
all,Silence,0.4266666666666667,,H,25 minutes,2%,2019-11-05,[{'media': 'TVCI'}],BFT
all,Musique,1.6830555555555555,,H,1 heure 40 minutes,9%,2019-11-05,[{'media': 'TVCI'}],BFT
all,Femme,5.685277777777777,,H,5 heures 41 minutes,32%,2019-11-05,[{'media': 'TVCI'}],BFT
all,Homme,9.928333333333333,,H,9 heures 55 minutes,55%,2019-11-05,[{'media': 'TVCI'}],BFT
all,Bruit,0.20444444444444446,,H,12 minutes,1%,2019-11-06,[{'media': 'TVCI'}],BFT
all,Silence,0.5708333333333333,,H,34 minutes,3%,2019-11-06,[{'media': 'TVCI'}],BFT
