entity,type,value,valueOnHours,unit,legend,percent,date,chartDatasRow,channel
all,Bruit,0.18194444444444444,,H,10 minutes,1%,2025-11-01,[{'media': 'TVCI'}],BFT
all,Silence,0.45416666666666666,,H,27 minutes,3%,2025-11-01,[{'media': 'TVCI'}],BFT
all,Musique,1.1575,,H,1 heure 9 minutes,6%,2025-11-01,[{'media': 'TVCI'}],BFT
all,Femme,6.511111111111111,,H,6 heures 30 minutes,36%,2025-11-01,[{'media': 'TVCI'}],BFT
all,Homme,9.699444444444444,,H,9 heures 41 minutes,54%,2025-11-01,[{'media': 'TVCI'}],BFT
all,Bruit,0.1811111111111111,,H,10 minutes,1%,2025-11-02,[{'media': 'TVCI'}],BFT
all,Silence,0.5552777777777778,,H,33 minutes,3%,2025-11-02,[{'media': 'TVCI'}],BFT
all,Musique,1.2872222222222223,,H,1 heure 17 minutes,7%,2025-11-02,[{'media': 'TVCI'}],BFT
all,Femme,5.647222222222222,,H,5 heures 38 minutes,31%,2025-11-02,[{'media': 'TVCI'}],BFT
all,Homme,10.333333333333334,,H,10 heures 20 minutes,57%,2025-11-02,[{'media': 'TVCI'}],BFT
all,Bruit,0.17333333333333334,,H,10 minutes,1%,2025-11-03,[{'media': 'TVCI'}],BFT
all,Silence,0.43944444444444447,,H,26 minutes,2%,2025-11-03,[{'media': 'TVCI'}],BFT
all,Musique,1.2744444444444445,,H,1 heure 16 minutes,7%,2025-11-03,[{'media': 'TVCI'}],BFT
all,Femme,5.54,,H,5 heures 32 minutes,31%,2025-11-03,[{'media': 'TVCI'}],BFT
all,Homme,10.576666666666666,,H,10 heures 34 minutes,59%,2025-11-03,[{'media': 'TVCI'}],BFT
all,Bruit,0.13194444444444445,,H,7 minutes,1%,2025-11-04,[{'media': 'TVCI'}],BFT
all,Silence,0.4861111111111111,,H,29 minutes,3%,2025-11-04,[{'media': 'TVCI'}],BFT
all,Musique,1.1858333333333333,,H,1 heure 11 minutes,7%,2025-11-04,[{'media': 'TVCI'}],BFT
all,Femme,5.364722222222222,,H,5 heures 21 minutes,30%,2025-11-04,[{'media': 'TVCI'}],BFT
all,Homme,10.835555555555555,,H,10 heures 50 minutes,60%,2025-11-04,[{'media': 'TVCI'}],BFT
all,Bruit,0.08388888888888889,,H,5 minutes,0%,2025-11-05,[{'media': 'TVCI'}],BFT
all,Silence,0.5136111111111111,,H,30 minutes,3%,2025-11-05,[{'media': 'TVCI'}],BFT
all,Musique,0.7552777777777778,,H,45 minutes,4%,2025-11-05,[{'media': 'TVCI'}],BFT
all,Femme,5.535833333333334,,H,5 heures 32 minutes,31%,2025-11-05,[{'media': 'TVCI'}],BFT
all,Homme,11.115833333333333,,H,11 heures 6 minutes,62%,2025-11-05,[{'media': 'TVCI'}],BFT
all,Bruit,0.17944444444444443,,H,10 minutes,1%,2025-11-06,[{'media': 'TVCI'}],BFT
all,Silence,0.5041666666666667,,H,30 minutes,3%,2025-11-06,[{'media': 'TVCI'}],BFT
all,Musique,1.2013888888888888,,H,1 heure 12 minutes,7%,2025-11-06,[{'media': 'TVCI'}],BFT
all,Femme,5.6113888888888885,,H,5 heures 36 minutes,31%,2025-11-06,[{'media': 'TVCI'}],BFT
all,Homme,10.508055555555556,,H,10 heures 30 minutes,58%,2025-11-06,[{'media': 'TVCI'}],BFT
all,Bruit,0.23555555555555555,,H,14 minutes,1%,2025-11-07,[{'media': 'TVCI'}],BFT
all,Silence,0.4525,,H,27 minutes,3%,2025-11-07,[{'media': 'TVCI'}],BFT
all,Musique,1.5577777777777777,,H,1 heure 33 minutes,9%,2025-11-07,[{'media': 'TVCI'}],BFT
all,Femme,6.152777777777778,,H,6 heures 9 minutes,34%,2025-11-07,[{'media': 'TVCI'}],BFT
all,Homme,9.605,,H,9 heures 36 minutes,53%,2025-11-07,[{'media': 'TVCI'}],BFT
all,Bruit,0.2836111111111111,,H,17 minutes,2%,2025-11-08,[{'media': 'TVCI'}],BFT
all,Silence,0.4425,,H,26 minutes,2%,2025-11-08,[{'media': 'TVCI'}],BFT
all,Musique,1.4613888888888888,,H,1 heure 27 minutes,8%,2025-11-08,[{'media': 'TVCI'}],BFT
all,Femme,6.578888888888889,,H,6 heures 34 minutes,37%,2025-11-08,[{'media': 'TVCI'}],BFT
all,Homme,9.237222222222222,,H,9 heures 14 minutes,51%,2025-11-08,[{'media': 'TVCI'}],BFT
all,Bruit,0.29444444444444445,,H,17 minutes,2%,2025-11-09,[{'media': 'TVCI'}],BFT
all,Silence,0.5408333333333334,,H,32 minutes,3%,2025-11-09,[{'media': 'TVCI'}],BFT
all,Musique,1.4280555555555556,,H,1 heure 25 minutes,8%,2025-11-09,[{'media': 'TVCI'}],BFT
all,Femme,5.63,,H,5 heures 37 minutes,31%,2025-11-09,[{'media': 'TVCI'}],BFT
all,Homme,10.110833333333334,,H,10 heures 6 minutes,56%,2025-11-09,[{'media': 'TVCI'}],BFT
all,Bruit,0.2222222222222222,,H,13 minutes,1%,2025-11-10,[{'media': 'TVCI'}],BFT
all,Silence,0.4216666666666667,,H,25 minutes,2%,2025-11-10,[{'media': 'TVCI'}],BFT
