entity,type,value,valueOnHours,unit,legend,percent,date,chartDatasRow,channel
all,Bruit,0.12027777777777778,,H,7 minutes,1%,2024-01-01,[{'media': 'TVCI'}],BFT
all,Silence,0.5241666666666667,,H,31 minutes,3%,2024-01-01,[{'media': 'TVCI'}],BFT
all,Musique,1.2963888888888888,,H,1 heure 17 minutes,7%,2024-01-01,[{'media': 'TVCI'}],BFT
all,Femme,5.08,,H,5 heures 4 minutes,28%,2024-01-01,[{'media': 'TVCI'}],BFT
all,Homme,10.983611111111111,,H,10 heures 59 minutes,61%,2024-01-01,[{'media': 'TVCI'}],BFT
all,Bruit,0.07388888888888889,,H,4 minutes,0%,2024-01-02,[{'media': 'TVCI'}],BFT
all,Silence,0.4572222222222222,,H,27 minutes,3%,2024-01-02,[{'media': 'TVCI'}],BFT
all,Musique,0.7247222222222223,,H,43 minutes,4%,2024-01-02,[{'media': 'TVCI'}],BFT
all,Femme,5.583611111111111,,H,5 heures 35 minutes,31%,2024-01-02,[{'media': 'TVCI'}],BFT
all,Homme,11.164722222222222,,H,11 heures 9 minutes,62%,2024-01-02,[{'media': 'TVCI'}],BFT
all,Bruit,0.06861111111111111,,H,4 minutes,0%,2024-01-03,[{'media': 'TVCI'}],BFT
all,Silence,0.43666666666666665,,H,26 minutes,2%,2024-01-03,[{'media': 'TVCI'}],BFT
all,Musique,0.7172222222222222,,H,43 minutes,4%,2024-01-03,[{'media': 'TVCI'}],BFT
all,Femme,5.875,,H,5 heures 52 minutes,33%,2024-01-03,[{'media': 'TVCI'}],BFT
all,Homme,10.906666666666666,,H,10 heures 54 minutes,61%,2024-01-03,[{'media': 'TVCI'}],BFT
all,Bruit,0.09861111111111111,,H,5 minutes,1%,2024-01-04,[{'media': 'TVCI'}],BFT
all,Silence,0.5063888888888889,,H,30 minutes,3%,2024-01-04,[{'media': 'TVCI'}],BFT
all,Musique,0.8286111111111111,,H,49 minutes,5%,2024-01-04,[{'media': 'TVCI'}],BFT
all,Femme,6.277777777777778,,H,6 heures 16 minutes,35%,2024-01-04,[{'media': 'TVCI'}],BFT
all,Homme,10.292777777777777,,H,10 heures 17 minutes,57%,2024-01-04,[{'media': 'TVCI'}],BFT
all,Bruit,0.12472222222222222,,H,7 minutes,1%,2024-01-05,[{'media': 'TVCI'}],BFT
all,Silence,0.7144444444444444,,H,42 minutes,4%,2024-01-05,[{'media': 'TVCI'}],BFT
all,Musique,0.8527777777777777,,H,51 minutes,5%,2024-01-05,[{'media': 'TVCI'}],BFT
all,Femme,5.585833333333333,,H,5 heures 35 minutes,31%,2024-01-05,[{'media': 'TVCI'}],BFT
all,Homme,10.72638888888889,,H,10 heures 43 minutes,60%,2024-01-05,[{'media': 'TVCI'}],BFT
all,Bruit,0.18638888888888888,,H,11 minutes,1%,2024-01-06,[{'media': 'TVCI'}],BFT
all,Silence,0.6308333333333334,,H,37 minutes,4%,2024-01-06,[{'media': 'TVCI'}],BFT
all,Musique,0.9969444444444444,,H,59 minutes,6%,2024-01-06,[{'media': 'TVCI'}],BFT
all,Femme,4.225,,H,4 heures 13 minutes,23%,2024-01-06,[{'media': 'TVCI'}],BFT
all,Homme,11.965,,H,11 heures 57 minutes,66%,2024-01-06,[{'media': 'TVCI'}],BFT
all,Bruit,0.1922222222222222,,H,11 minutes,1%,2024-01-07,[{'media': 'TVCI'}],BFT
all,Silence,0.6725,,H,40 minutes,4%,2024-01-07,[{'media': 'TVCI'}],BFT
all,Musique,1.346111111111111,,H,1 heure 20 minutes,7%,2024-01-07,[{'media': 'TVCI'}],BFT
all,Femme,4.492222222222222,,H,4 heures 29 minutes,25%,2024-01-07,[{'media': 'TVCI'}],BFT
all,Homme,11.301111111111112,,H,11 heures 18 minutes,63%,2024-01-07,[{'media': 'TVCI'}],BFT
all,Bruit,0.12694444444444444,,H,7 minutes,1%,2024-01-08,[{'media': 'TVCI'}],BFT
all,Silence,0.4822222222222222,,H,28 minutes,3%,2024-01-08,[{'media': 'TVCI'}],BFT
all,Musique,1.0361111111111112,,H,1 heure 2 minutes,6%,2024-01-08,[{'media': 'TVCI'}],BFT
all,Femme,6.265,,H,6 heures 15 minutes,35%,2024-01-08,[{'media': 'TVCI'}],BFT
all,Homme,10.09361111111111,,H,10 heures 5 minutes,56%,2024-01-08,[{'media': 'TVCI'}],BFT
all,Bruit,0.11444444444444445,,H,6 minutes,1%,2024-01-09,[{'media': 'TVCI'}],BFT
all,Silence,0.5136111111111111,,H,30 minutes,3%,2024-01-09,[{'media': 'TVCI'}],BFT
all,Musique,0.7758333333333334,,H,46 minutes,4%,2024-01-09,[{'media': 'TVCI'}],BFT
all,Femme,6.010833333333333,,H,6 heures 0 minute,33%,2024-01-09,[{'media': 'TVCI'}],BFT
all,Homme,10.589166666666667,,H,10 heures 35 minutes,59%,2024-01-09,[{'media': 'TVCI'}],BFT
all,Bruit,0.13277777777777777,,H,7 minutes,1%,2024-01-10,[{'media': 'TVCI'}],BFT
all,Silence,0.4572222222222222,,H,27 minutes,3%,2024-01-10,[{'media': 'TVCI'}],BFT
all,Musique,1.0666666666666667,,H,1 heure 4 minutes,6%,2024-01-10,[{'media': 'TVCI'}],BFT
all,Femme,6.592777777777778,,H,6 heures 35 minutes,37%,2024-01-10,[{'media': 'TVCI'}],BFT
all,Homme,9.755,,H,9 heures 45 minutes,54%,2024-01-10,[{'media': 'TVCI'}],BFT
all,Bruit,0.09472222222222222,,H,5 minutes,1%,2024-01-11,[{'media': 'TVCI'}],BFT
all,Silence,0.5375,,H,32 minutes,3%,2024-01-11,[{'media': 'TVCI'}],BFT
all,Musique,0.9125,,H,54 minutes,5%,2024-01-11,[{'media': 'TVCI'}],BFT
all,Femme,5.814166666666667,,H,5 heures 48 minutes,32%,2024-01-11,[{'media': 'TVCI'}],BFT
all,Homme,10.645277777777778,,H,10 heures 38 minutes,59%,2024-01-11,[{'media': 'TVCI'}],BFT
all,Bruit,0.1686111111111111,,H,10 minutes,1%,2024-01-12,[{'media': 'TVCI'}],BFT
all,Silence,0.6572222222222223,,H,39 minutes,4%,2024-01-12,[{'media': 'TVCI'}],BFT
all,Musique,1.153888888888889,,H,1 heure 9 minutes,6%,2024-01-12,[{'media': 'TVCI'}],BFT
