titre,réalisateur(s),année_de_production,groupe_de_nationalité2,année_de_dernière_diffusion,nb._de_diffusions,dont_en_première_partie_de_soirée,nb._moyen_de_diffusions_par_an
MERVEILLEUSE ANGELIQUE,BORDERIE Bernard,1964,FRANCE / ALLEMAGNE,2024,34,14,0.6538461538461539
HOMME DE RIO (L'),DE BROCA Philippe,1963,FRANCE / ITALIE,2021,34,9,0.6296296296296297
ARME FATALE (L'),DONNER Richard,1987,ETATS UNIS,2024,34,17,1.0303030303030303
GREASE,KLEISER Randal,1978,ETATS UNIS,2024,34,20,0.918918918918919
GRANDES VACANCES (LES),GIRAULT Jean,1967,FRANCE,2024,34,23,0.7727272727272727
ANGELIQUE ET LE SULTAN,BORDERIE Bernard,1967,FRANCE / ALLEMAGNE,2024,34,16,0.6538461538461539
GENDARME DE SAINT TROPEZ (LE),GIRAULT Jean,1964,FRANCE / ITALIE,2024,34,23,0.6938775510204082
GRAND BAZAR (LE),ZIDI Claude,1973,FRANCE,2024,34,19,0.7555555555555555
AVENTURIERS (LES),ENRICO Robert,1966,FRANCE,2024,34,10,0.68
MARGINAL (LE),DERAY Jacques,1983,FRANCE,2024,34,23,0.9444444444444444
DERNIER DOMICILE CONNU,GIOVANNI José,1969,FRANCE / ITALIE,2023,34,17,0.68
ARME FATALE II (L'),DONNER Richard,1989,ETATS UNIS,2024,34,20,1.0625
JUMANJI,JOHNSTON Joe,1995,ETATS UNIS,2024,34,19,1.36
FORREST GUMP,ZEMECKIS Robert,1993,ETATS UNIS,2023,34,22,1.3076923076923077
BAD BOYS FLICS DE CHOCS,BAY Michael,1994,ETATS UNIS,2024,34,18,1.36
ANGES GARDIENS (LES),POIRE Jean-Marie,1994,FRANCE,2023,34,23,1.3076923076923077
WASABI,KRAWCZYK Gérard,2001,FRANCE,2023,34,22,1.7
PALAIS ROYAL,LEMERCIER Valérie,2004,FRANCE / GRANDE BRETAGNE,2024,34,23,2.125
DIDIER,CHABAT Alain,1996,FRANCE,2024,34,26,1.36
LEON,BESSON Luc,1993,FRANCE,2024,34,21,1.2592592592592593
TAXI 3,KRAWCZYK Gérard,2001,FRANCE,2024,34,20,1.7894736842105263
PISCINE (LA),DERAY Jacques,1968,FRANCE / ITALIE,2024,33,12,0.673469387755102
TINTIN ET LE MYSTERE DE LA TOISON D OR,VIERNE Jean-Jacques,1961,FRANCE,2019,33,16,0.6226415094339622
LUCKY LUKE DAISY TOWN,GOSCINNY René,1970,FRANCE,2024,33,12,0.8048780487804879
NE NOUS FACHONS PAS,LAUTNER Georges,1965,FRANCE,2018,33,19,0.6346153846153846
PEUR SUR LA VILLE,VERNEUIL Henri,1974,FRANCE,2024,33,18,0.8048780487804879
ROBIN DES BOIS PRINCE DES VOLEURS,REYNOLDS Kevin,1990,GRANDE BRETAGNE,2024,33,22,1.1
INSPECTEUR LABAVURE,ZIDI Claude,1980,FRANCE,2024,33,22,0.7857142857142857
VIENS CHEZ MOI J HABITE CHEZ...,LECONTE Patrice,1980,FRANCE,2024,33,23,0.8048780487804879
ROIS MAGES (LES),BOURDON Didier,2001,FRANCE,2024,33,25,1.65
BILLY ELLIOT,DALDRY Stephen,2000,GRANDE BRETAGNE,2024,33,23,1.65
