titre,réalisateur(s),année_de_production,groupe_de_nationalité2,année_de_dernière_diffusion,nb._de_diffusions,dont_en_première_partie_de_soirée,nb._moyen_de_diffusions_par_an
REINE SOLEIL (LA),LECLERC Philippe,2005,FRANCE / HONGRIE,2024,25,8,2.5
JURASSIC PARK,SPIELBERG Steven,1992,ETATS UNIS,2024,25,11,2.5
CHAOS - TONY GIGLIO -,GIGLIO Tony,2004,GRANDE BRETAGNE,2024,25,16,2.5
TAKEN,MOREL Pierre,2007,France,2024,25,13,2.5
LARGO WINCH,SALLE Jerome,2008,FRANCE,2024,25,15,2.5
CONFIANCE REGNE (LA),CHATILIEZ Etienne,2003,FRANCE,2020,25,0,3.125
SHERLOCK HOLMES - GUY RITCHIE -,RITCHIE Guy,2008,GRANDE BRETAGNE,2024,24,13,2.4
FAST AND FURIOUS 6,LIN Justin,2012,ETATS UNIS,2024,24,12,2.4
GRAND RESTAURANT (LE),BESNARD Jacques,1966,FRANCE,2024,24,14,2.6666666666666665
JULIETTE ET JULIETTE,FORLANI Remo,1973,FRANCE / ITALIE,2020,24,0,2.4
SLUMDOG MILLIONAIRE,BOYLE Danny,2008,GRANDE BRETAGNE,2024,24,13,2.4
ROIS MAGES (LES),BOURDON Didier,2001,FRANCE,2024,24,19,2.4
ALIVE,BERTHE Frederic,2003,FRANCE / BELGIQUE,2024,24,0,3.0
TROIE,PETERSEN Wolfgang,2003,GRANDE BRETAGNE,2024,24,15,2.4
11 COMMANDEMENTS (LES),DESAGNAT François,2003,FRANCE,2024,24,23,2.4
DOUBLURE (LA),VEBER Francis,2005,FRANCE / ITALIE,2023,24,16,2.4
TRANSPORTEUR II (LE),LETERRIER Louis,2005,FRANCE,2024,24,13,2.4
ARTHUR 3 LA GUERRE DES DEUX MONDES,BESSON Luc,2008,FRANCE,2024,23,14,2.3
ELEVE DUCOBU (L'),DE CHAUVERON Philippe,2010,FRANCE,2024,23,12,2.5555555555555554
ROBIN DES BOIS - RIDLEY SCOTT -,SCOTT Ridley,2010,GRANDE BRETAGNE,2024,23,14,2.875
UN MONSTRE A PARIS,BERGERON Eric,2010,FRANCE,2024,23,15,2.3
SAMMY 2,STASSEN Ben,2012,BELGIQUE / FRANCE,2024,23,17,2.3
VOYAGE EXTRAORDINAIRE DE SAMY (LE),STASSEN Ben,2009,Belgique,2024,23,17,2.3
BOUM (LA),PINOTEAU Claude,1980,FRANCE,2024,23,11,2.3
TAXI 3,KRAWCZYK Gérard,2001,FRANCE,2024,23,10,2.5555555555555554
TRANSPORTEUR (LE),LETERRIER Louis,2002,FRANCE,2024,23,13,2.5555555555555554
QUATRE MARIAGES ET UN ENTERREMENT,NEWELL Mike,1994,GRANDE BRETAGNE,2024,23,12,2.3
CODE A CHANGE (LE),THOMPSON Danièle,2008,FRANCE,2024,23,16,2.3
58 MINUTES POUR VIVRE,HARLIN Renny,1990,ETATS UNIS,2024,23,12,2.3
MAMMA MIA,LLOYD Phyllida,2007,GRANDE BRETAGNE,2024,23,13,2.3
BANDE A PICSOU LE FILM (LA),COLLECTIF,1989,FRANCE,2023,23,18,2.3
