theme,n_years,b0_const,b1_year,pvalue_year,R2
Economie,21,-22559448.40259614,11342.346753246129,4.90651091312015e-08,0.7985226611355647
International,21,18582221.800864466,-9042.772727272062,0.0092375796937462,0.30639530675363835
Politique France,21,-12599513.948051443,6381.864935064688,0.09376599076287072,0.14075723312391397
Société,21,8392626.636363022,-3942.554545454241,0.10285198961546076,0.133874687954756
Culture-loisirs,21,-1624923.9307356873,921.5103896102725,0.5422733405627915,0.019864402113794144
