chaine,Arte,France 2,France 3,M6,TF1
Arte,1.0,0.7453324243087096,0.7382646334577773,0.6453012746311865,0.6850353867820278
France 2,0.7453324243087096,0.9999999999999998,0.9969071016423664,0.9757495388170818,0.9937599719249183
France 3,0.7382646334577773,0.9969071016423664,1.0000000000000002,0.978588091948097,0.9899963061748686
M6,0.6453012746311865,0.9757495388170818,0.978588091948097,1.0,0.9844062363172539
TF1,0.6850353867820278,0.9937599719249183,0.9899963061748686,0.9844062363172539,0.9999999999999997
