chaine_A,chaine_B,cosine_similarity
France 2,France 3,0.9969071016423664
France 2,TF1,0.9937599719249183
France 3,TF1,0.9899963061748686
M6,TF1,0.9844062363172539
France 3,M6,0.978588091948097
France 2,M6,0.9757495388170818
Arte,France 2,0.7453324243087096
Arte,France 3,0.7382646334577773
Arte,TF1,0.6850353867820278
Arte,M6,0.6453012746311865
