chaine,Catastrophes,Culture-loisirs,Economie,Education,Environnement,Faits divers,Histoire-hommages,International,Justice,Politique France,Santé,Sciences et techniques,Société,Sport
Arte,0.021911805538901784,0.11919638510250329,0.06719380550943063,0.008503584646220426,0.032056095747745386,0.008940884614351125,0.024771230140557196,0.4427983615192208,0.04035453802371619,0.04545275932379296,0.028350386635581336,0.015428584306724249,0.13681710344174,0.008224475449514606
France 2,0.05375036424968483,0.08623789589446695,0.10940785357722922,0.025143144368949065,0.046911441080022744,0.03471245361681119,0.02184185125936729,0.1371065029301176,0.049186132671644865,0.10261065714664584,0.05807124713523939,0.02057018248470976,0.19581093786379855,0.05863933572131268
France 3,0.05884798925974041,0.08132790700057566,0.09773251678456084,0.022018250539078334,0.04175869637859584,0.04381369647209137,0.02351777096510525,0.13407047957291662,0.06405817302547209,0.1108524225326133,0.0575655686276747,0.018560711825325416,0.19009078363306312,0.05578503338318705
M6,0.061883055861725565,0.11174742162904902,0.08037952035762252,0.027967966809910694,0.03505591225019912,0.06211285681046905,0.01984957726529407,0.09134207342463269,0.05808093385593791,0.09136374734297138,0.06725804407384117,0.02283541070424589,0.20097793867831298,0.06914554093578792
TF1,0.061506348792812617,0.08081858154080086,0.10372176986660442,0.02801279740885698,0.05664873164178458,0.037207116698013985,0.020302211130438487,0.11049183082650038,0.04697878816289769,0.09140026738516818,0.06565596173616797,0.02722444079060846,0.19999073019600555,0.07004042382333983
