,importance
Faits divers,0.14844942539273934
International,0.11529067656118001
Education,0.08703642783993068
Sciences et techniques,0.08541032188172834
Sport,0.08481980595055388
Culture-loisirs,0.08273763144447122
Santé,0.07343953268745179
Environnement,0.06980498458595988
Justice,0.056304332794721065
Catastrophes,0.05553294168522662
Economie,0.04284720924332223
Politique France,0.035962713895680336
Société,0.03515979042342254
Histoire-hommages,0.0272042056136122
